ROI,Subject,Effect, LocalizerSize,EffectSize
12,291_FED_20160803c_3T1_PL2017,Sem-photo,178,4.0449019999999996
12,291_FED_20160803c_3T1_PL2017,Perc-photo,178,4.7319830000000005
12,291_FED_20160803c_3T1_PL2017,Sem-sent,178,3.230873
12,291_FED_20160803c_3T1_PL2017,Perc-sent,178,4.574562
12,400_FED_20160520a_3T1_PL2017,Sem-photo,178,0.87905
12,400_FED_20160520a_3T1_PL2017,Perc-photo,178,0.455137
12,400_FED_20160520a_3T1_PL2017,Sem-sent,178,0.548687
12,400_FED_20160520a_3T1_PL2017,Perc-sent,178,0.302093
12,419_FED_20160805a_3T1_PL2017,Sem-photo,178,0.528775
12,419_FED_20160805a_3T1_PL2017,Perc-photo,178,0.572565
12,419_FED_20160805a_3T1_PL2017,Sem-sent,178,0.404825
12,419_FED_20160805a_3T1_PL2017,Perc-sent,178,0.8319479999999999
12,773_FED_20190605c_3T2_PL2017,Sem-photo,178,0.304806
12,773_FED_20190605c_3T2_PL2017,Perc-photo,178,1.030786
12,773_FED_20190605c_3T2_PL2017,Sem-sent,178,-0.074043
12,773_FED_20190605c_3T2_PL2017,Perc-sent,178,0.888684
12,774_FED_20190605b_3T2_PL2017,Sem-photo,178,2.1013740000000003
12,774_FED_20190605b_3T2_PL2017,Perc-photo,178,2.4555
12,774_FED_20190605b_3T2_PL2017,Sem-sent,178,1.443376
12,774_FED_20190605b_3T2_PL2017,Perc-sent,178,1.65465
12,775_FED_20190611a_3T2_PL2017,Sem-photo,178,2.228371
12,775_FED_20190611a_3T2_PL2017,Perc-photo,178,2.075313
12,775_FED_20190611a_3T2_PL2017,Sem-sent,178,1.800989
12,775_FED_20190611a_3T2_PL2017,Perc-sent,178,1.688779
12,778_FED_20190614b_3T2_PL2017,Sem-photo,178,3.166226
12,778_FED_20190614b_3T2_PL2017,Perc-photo,178,1.425633
12,778_FED_20190614b_3T2_PL2017,Sem-sent,178,1.322997
12,778_FED_20190614b_3T2_PL2017,Perc-sent,178,0.089523
13,291_FED_20160803c_3T1_PL2017,Sem-photo,116,3.068168
13,291_FED_20160803c_3T1_PL2017,Perc-photo,116,3.3606839999999996
13,291_FED_20160803c_3T1_PL2017,Sem-sent,116,2.536039
13,291_FED_20160803c_3T1_PL2017,Perc-sent,116,3.164214
13,400_FED_20160520a_3T1_PL2017,Sem-photo,116,0.973801
13,400_FED_20160520a_3T1_PL2017,Perc-photo,116,0.558467
13,400_FED_20160520a_3T1_PL2017,Sem-sent,116,0.21399899999999997
13,400_FED_20160520a_3T1_PL2017,Perc-sent,116,0.08012799999999999
13,419_FED_20160805a_3T1_PL2017,Sem-photo,116,0.26313800000000004
13,419_FED_20160805a_3T1_PL2017,Perc-photo,116,0.124287
13,419_FED_20160805a_3T1_PL2017,Sem-sent,116,0.143271
13,419_FED_20160805a_3T1_PL2017,Perc-sent,116,0.618246
