ROI,Subject,Effect, LocalizerSize,EffectSize
12,249_FED_20160519a_3T1_PL2017,H,178,1.526565
12,249_FED_20160519a_3T1_PL2017,E,178,0.8594149999999999
12,252_FED_20160907b_3T2_PL2017,H,178,4.793353
12,252_FED_20160907b_3T2_PL2017,E,178,2.6930560000000003
12,291_FED_20160803c_3T1_PL2017,H,178,2.223702
12,291_FED_20160803c_3T1_PL2017,E,178,1.737141
12,301_FED_20160908b_3T1_PL2017,H,178,1.9945110000000001
12,301_FED_20160908b_3T1_PL2017,E,178,0.931164
12,376_FED_20160519b_3T1_PL2017,H,178,1.066289
12,376_FED_20160519b_3T1_PL2017,E,178,0.48768599999999995
12,399_FED_20160519d_3T1_PL2017,H,178,-0.020903
12,399_FED_20160519d_3T1_PL2017,E,178,-0.126691
12,400_FED_20160520a_3T1_PL2017,H,178,1.06265
12,400_FED_20160520a_3T1_PL2017,E,178,0.19228499999999998
12,401_FED_20160520d_3T1_PL2017,H,178,1.892643
12,401_FED_20160520d_3T1_PL2017,E,178,1.330115
12,419_FED_20160805a_3T1_PL2017,H,178,0.10931700000000001
12,419_FED_20160805a_3T1_PL2017,E,178,-0.047663
12,420_FED_20160805b_3T1_PL2017,H,178,1.3588799999999999
12,420_FED_20160805b_3T1_PL2017,E,178,0.721136
12,426_FED_20160908d_3T1_PL2017,H,178,1.384357
12,426_FED_20160908d_3T1_PL2017,E,178,1.008207
12,682_FED_20190426a_3T2_PL2017,H,178,0.40926
12,682_FED_20190426a_3T2_PL2017,E,178,0.295462
12,767_FED_20190418b_3T2_PL2017,H,178,0.34475700000000004
12,767_FED_20190418b_3T2_PL2017,E,178,0.032732
12,769_FED_20190522a_3T2_PL2017,H,178,1.2232290000000001
12,769_FED_20190522a_3T2_PL2017,E,178,1.327757
12,770_FED_20190523b_3T2_PL2017,H,178,0.659207
12,770_FED_20190523b_3T2_PL2017,E,178,0.259048
12,773_FED_20190605c_3T2_PL2017,H,178,0.774424
12,773_FED_20190605c_3T2_PL2017,E,178,0.723299
12,774_FED_20190605b_3T2_PL2017,H,178,3.192319
12,774_FED_20190605b_3T2_PL2017,E,178,1.7878060000000002
12,775_FED_20190611a_3T2_PL2017,H,178,0.9033629999999999
12,775_FED_20190611a_3T2_PL2017,E,178,0.7751279999999999
12,778_FED_20190614b_3T2_PL2017,H,178,1.778543
12,778_FED_20190614b_3T2_PL2017,E,178,1.2488569999999999
