ROI,Subject,Effect, LocalizerSize,EffectSize
12,291_FED_20160803c_3T1_PL2017,Pic_Sem,178,0.333813
12,291_FED_20160803c_3T1_PL2017,Pic_Perc,178,0.391611
12,291_FED_20160803c_3T1_PL2017,Sent_Sem,178,0.762791
12,291_FED_20160803c_3T1_PL2017,Sent_Perc,178,0.162603
12,400_FED_20160520a_3T1_PL2017,Pic_Sem,178,-0.114659
12,400_FED_20160520a_3T1_PL2017,Pic_Perc,178,-0.190849
12,400_FED_20160520a_3T1_PL2017,Sent_Sem,178,-0.529079
12,400_FED_20160520a_3T1_PL2017,Sent_Perc,178,-0.121306
12,419_FED_20160805a_3T1_PL2017,Pic_Sem,178,0.136804
12,419_FED_20160805a_3T1_PL2017,Pic_Perc,178,0.644051
12,419_FED_20160805a_3T1_PL2017,Sent_Sem,178,0.409296
12,419_FED_20160805a_3T1_PL2017,Sent_Perc,178,-0.253875
12,773_FED_20190605c_3T2_PL2017,Pic_Sem,178,1.548333
12,773_FED_20190605c_3T2_PL2017,Pic_Perc,178,3.731906
12,773_FED_20190605c_3T2_PL2017,Sent_Sem,178,2.298873
12,773_FED_20190605c_3T2_PL2017,Sent_Perc,178,3.472314
12,774_FED_20190605b_3T2_PL2017,Pic_Sem,178,5.671441000000001
12,774_FED_20190605b_3T2_PL2017,Pic_Perc,178,6.852023
12,774_FED_20190605b_3T2_PL2017,Sent_Sem,178,6.414349
12,774_FED_20190605b_3T2_PL2017,Sent_Perc,178,7.063178
12,775_FED_20190611a_3T2_PL2017,Pic_Sem,178,1.18638
12,775_FED_20190611a_3T2_PL2017,Pic_Perc,178,1.384871
12,775_FED_20190611a_3T2_PL2017,Sent_Sem,178,1.8180599999999998
12,775_FED_20190611a_3T2_PL2017,Sent_Perc,178,1.100967
12,778_FED_20190614b_3T2_PL2017,Pic_Sem,178,7.024708
12,778_FED_20190614b_3T2_PL2017,Pic_Perc,178,4.169597
12,778_FED_20190614b_3T2_PL2017,Sent_Sem,178,3.767572
12,778_FED_20190614b_3T2_PL2017,Sent_Perc,178,2.375538
13,291_FED_20160803c_3T1_PL2017,Pic_Sem,116,-0.261425
13,291_FED_20160803c_3T1_PL2017,Pic_Perc,116,3.0219099999999997
13,291_FED_20160803c_3T1_PL2017,Sent_Sem,116,2.479829
13,291_FED_20160803c_3T1_PL2017,Sent_Perc,116,1.090296
13,400_FED_20160520a_3T1_PL2017,Pic_Sem,116,0.29586599999999996
13,400_FED_20160520a_3T1_PL2017,Pic_Perc,116,0.1202
13,400_FED_20160520a_3T1_PL2017,Sent_Sem,116,0.015444
13,400_FED_20160520a_3T1_PL2017,Sent_Perc,116,0.299996
13,419_FED_20160805a_3T1_PL2017,Pic_Sem,116,-0.26926
13,419_FED_20160805a_3T1_PL2017,Pic_Perc,116,0.035695
13,419_FED_20160805a_3T1_PL2017,Sent_Sem,116,0.50298
13,419_FED_20160805a_3T1_PL2017,Sent_Perc,116,-0.619449
13,773_FED_20190605c_3T2_PL2017,Pic_Sem,116,-0.5495909999999999
13,773_FED_20190605c_3T2_PL2017,Pic_Perc,116,1.541896
13,773_FED_20190605c_3T2_PL2017,Sent_Sem,116,0.405994
13,773_FED_20190605c_3T2_PL2017,Sent_Perc,116,1.168116
13,774_FED_20190605b_3T2_PL2017,Pic_Sem,116,5.441669999999999
13,774_FED_20190605b_3T2_PL2017,Pic_Perc,116,4.566168
13,774_FED_20190605b_3T2_PL2017,Sent_Sem,116,5.301714
13,774_FED_20190605b_3T2_PL2017,Sent_Perc,116,5.737857
13,775_FED_20190611a_3T2_PL2017,Pic_Sem,116,0.11463399999999999
13,775_FED_20190611a_3T2_PL2017,Pic_Perc,116,0.64355
13,775_FED_20190611a_3T2_PL2017,Sent_Sem,116,1.1997360000000001
13,775_FED_20190611a_3T2_PL2017,Sent_Perc,116,0.200163
13,778_FED_20190614b_3T2_PL2017,Pic_Sem,116,2.173491
13,778_FED_20190614b_3T2_PL2017,Pic_Perc,116,0.37612399999999996
13,778_FED_20190614b_3T2_PL2017,Sent_Sem,116,0.5554100000000001
13,778_FED_20190614b_3T2_PL2017,Sent_Perc,116,-0.123072
14,291_FED_20160803c_3T1_PL2017,Pic_Sem,46,-2.474513
14,291_FED_20160803c_3T1_PL2017,Pic_Perc,46,-0.793151
14,291_FED_20160803c_3T1_PL2017,Sent_Sem,46,-0.49060200000000004
14,291_FED_20160803c_3T1_PL2017,Sent_Perc,46,-0.8844479999999999
14,400_FED_20160520a_3T1_PL2017,Pic_Sem,46,-0.538674
14,400_FED_20160520a_3T1_PL2017,Pic_Perc,46,0.161171
14,400_FED_20160520a_3T1_PL2017,Sent_Sem,46,-0.125501
14,400_FED_20160520a_3T1_PL2017,Sent_Perc,46,-0.235235
14,419_FED_20160805a_3T1_PL2017,Pic_Sem,46,-0.613826
14,419_FED_20160805a_3T1_PL2017,Pic_Perc,46,0.16253499999999999
14,419_FED_20160805a_3T1_PL2017,Sent_Sem,46,-1.082274
14,419_FED_20160805a_3T1_PL2017,Sent_Perc,46,-0.6185069999999999
14,773_FED_20190605c_3T2_PL2017,Pic_Sem,46,0.385908
14,773_FED_20190605c_3T2_PL2017,Pic_Perc,46,1.019664
14,773_FED_20190605c_3T2_PL2017,Sent_Sem,46,0.562789
14,773_FED_20190605c_3T2_PL2017,Sent_Perc,46,1.007217
14,774_FED_20190605b_3T2_PL2017,Pic_Sem,46,1.317301
14,774_FED_20190605b_3T2_PL2017,Pic_Perc,46,0.846626
14,774_FED_20190605b_3T2_PL2017,Sent_Sem,46,1.114598
14,774_FED_20190605b_3T2_PL2017,Sent_Perc,46,0.7716930000000001
14,775_FED_20190611a_3T2_PL2017,Pic_Sem,46,-0.9134559999999999
14,775_FED_20190611a_3T2_PL2017,Pic_Perc,46,-1.475905
14,775_FED_20190611a_3T2_PL2017,Sent_Sem,46,0.67909
14,775_FED_20190611a_3T2_PL2017,Sent_Perc,46,-0.510251
14,778_FED_20190614b_3T2_PL2017,Pic_Sem,46,1.6849919999999998
14,778_FED_20190614b_3T2_PL2017,Pic_Perc,46,-0.24981799999999998
14,778_FED_20190614b_3T2_PL2017,Sent_Sem,46,0.70638
14,778_FED_20190614b_3T2_PL2017,Sent_Perc,46,0.631761
15,291_FED_20160803c_3T1_PL2017,Pic_Sem,107,-0.029910000000000003
15,291_FED_20160803c_3T1_PL2017,Pic_Perc,107,0.325887
15,291_FED_20160803c_3T1_PL2017,Sent_Sem,107,0.574026
15,291_FED_20160803c_3T1_PL2017,Sent_Perc,107,0.154496
15,400_FED_20160520a_3T1_PL2017,Pic_Sem,107,0.249048
15,400_FED_20160520a_3T1_PL2017,Pic_Perc,107,0.105026
15,400_FED_20160520a_3T1_PL2017,Sent_Sem,107,-0.068922
15,400_FED_20160520a_3T1_PL2017,Sent_Perc,107,0.167122
15,419_FED_20160805a_3T1_PL2017,Pic_Sem,107,-0.218156
15,419_FED_20160805a_3T1_PL2017,Pic_Perc,107,1.374028
15,419_FED_20160805a_3T1_PL2017,Sent_Sem,107,0.840909
15,419_FED_20160805a_3T1_PL2017,Sent_Perc,107,-0.109273
15,773_FED_20190605c_3T2_PL2017,Pic_Sem,107,2.249111
15,773_FED_20190605c_3T2_PL2017,Pic_Perc,107,2.88852
15,773_FED_20190605c_3T2_PL2017,Sent_Sem,107,1.6843130000000002
15,773_FED_20190605c_3T2_PL2017,Sent_Perc,107,2.81515
15,774_FED_20190605b_3T2_PL2017,Pic_Sem,107,2.759288
15,774_FED_20190605b_3T2_PL2017,Pic_Perc,107,3.059505
15,774_FED_20190605b_3T2_PL2017,Sent_Sem,107,3.4307440000000002
15,774_FED_20190605b_3T2_PL2017,Sent_Perc,107,3.475258
15,775_FED_20190611a_3T2_PL2017,Pic_Sem,107,1.133638
15,775_FED_20190611a_3T2_PL2017,Pic_Perc,107,1.0458379999999998
15,775_FED_20190611a_3T2_PL2017,Sent_Sem,107,2.192907
15,775_FED_20190611a_3T2_PL2017,Sent_Perc,107,1.361796
15,778_FED_20190614b_3T2_PL2017,Pic_Sem,107,5.210902
15,778_FED_20190614b_3T2_PL2017,Pic_Perc,107,3.832667
15,778_FED_20190614b_3T2_PL2017,Sent_Sem,107,1.025275
15,778_FED_20190614b_3T2_PL2017,Sent_Perc,107,0.80988
16,291_FED_20160803c_3T1_PL2017,Pic_Sem,98,-0.44813500000000006
16,291_FED_20160803c_3T1_PL2017,Pic_Perc,98,0.06271900000000001
16,291_FED_20160803c_3T1_PL2017,Sent_Sem,98,0.38051599999999997
16,291_FED_20160803c_3T1_PL2017,Sent_Perc,98,-0.239684
16,400_FED_20160520a_3T1_PL2017,Pic_Sem,98,-0.388347
16,400_FED_20160520a_3T1_PL2017,Pic_Perc,98,-0.24864099999999997
16,400_FED_20160520a_3T1_PL2017,Sent_Sem,98,-0.317992
16,400_FED_20160520a_3T1_PL2017,Sent_Perc,98,-0.298331
16,419_FED_20160805a_3T1_PL2017,Pic_Sem,98,-0.535245
16,419_FED_20160805a_3T1_PL2017,Pic_Perc,98,0.9912299999999999
16,419_FED_20160805a_3T1_PL2017,Sent_Sem,98,0.393808
16,419_FED_20160805a_3T1_PL2017,Sent_Perc,98,-0.20501100000000003
16,773_FED_20190605c_3T2_PL2017,Pic_Sem,98,2.120813
16,773_FED_20190605c_3T2_PL2017,Pic_Perc,98,3.936193
16,773_FED_20190605c_3T2_PL2017,Sent_Sem,98,1.7285
16,773_FED_20190605c_3T2_PL2017,Sent_Perc,98,3.7069120000000004
16,774_FED_20190605b_3T2_PL2017,Pic_Sem,98,4.570517
16,774_FED_20190605b_3T2_PL2017,Pic_Perc,98,3.688622
16,774_FED_20190605b_3T2_PL2017,Sent_Sem,98,5.191419000000001
16,774_FED_20190605b_3T2_PL2017,Sent_Perc,98,4.726604
16,775_FED_20190611a_3T2_PL2017,Pic_Sem,98,-0.03452
16,775_FED_20190611a_3T2_PL2017,Pic_Perc,98,0.301072
16,775_FED_20190611a_3T2_PL2017,Sent_Sem,98,1.082884
16,775_FED_20190611a_3T2_PL2017,Sent_Perc,98,0.23281
16,778_FED_20190614b_3T2_PL2017,Pic_Sem,98,2.2010560000000003
16,778_FED_20190614b_3T2_PL2017,Pic_Perc,98,1.8172720000000002
16,778_FED_20190614b_3T2_PL2017,Sent_Sem,98,1.5725959999999999
16,778_FED_20190614b_3T2_PL2017,Sent_Perc,98,0.78182
17,291_FED_20160803c_3T1_PL2017,Pic_Sem,125,-0.605137
