ROI,Subject,Effect, LocalizerSize,EffectSize
12,199_KAN_parametric_20_PL2017,S,178,0.28586500000000004
12,199_KAN_parametric_20_PL2017,N,178,0.534984
12,261_FED_20160523c_3T2_PL2017,S,178,1.3331
12,261_FED_20160523c_3T2_PL2017,N,178,1.7232150000000002
12,407_FED_20160804a_3T1_PL2017,S,178,1.2099520000000001
12,407_FED_20160804a_3T1_PL2017,N,178,0.418187
12,408_FED_20160711a2_3T1_PL2017,S,178,0.06298
12,408_FED_20160711a2_3T1_PL2017,N,178,-0.005403
12,409_FED_20160622a_3T1_PL2017,S,178,-0.166893
12,409_FED_20160622a_3T1_PL2017,N,178,-0.038735000000000006
12,410_FED_20160623b_3T2_PL2017,S,178,0.497759
12,410_FED_20160623b_3T2_PL2017,N,178,0.356898
12,730_FED_20190306a_3T2_PL2017,S,178,1.241894
12,730_FED_20190306a_3T2_PL2017,N,178,1.155889
12,776_FED_20190611b_3T2_PL2017,S,178,-0.28027399999999997
12,776_FED_20190611b_3T2_PL2017,N,178,-0.104576
12,291_FED_20160803c_3T1_PL2017,S,178,0.169853
12,291_FED_20160803c_3T1_PL2017,N,178,0.17784
12,400_FED_20160520a_3T1_PL2017,S,178,2.821958
12,400_FED_20160520a_3T1_PL2017,N,178,2.73251
12,419_FED_20160805a_3T1_PL2017,S,178,0.663602
12,419_FED_20160805a_3T1_PL2017,N,178,0.9435479999999999
12,773_FED_20190605c_3T2_PL2017,S,178,1.725427
12,773_FED_20190605c_3T2_PL2017,N,178,1.176013
12,774_FED_20190605b_3T2_PL2017,S,178,2.735643
12,774_FED_20190605b_3T2_PL2017,N,178,1.005212
12,775_FED_20190611a_3T2_PL2017,S,178,-0.24591300000000002
12,775_FED_20190611a_3T2_PL2017,N,178,-0.695728
12,778_FED_20190614b_3T2_PL2017,S,178,0.5893079999999999
12,778_FED_20190614b_3T2_PL2017,N,178,1.107796
13,199_KAN_parametric_20_PL2017,S,116,0.530554
13,199_KAN_parametric_20_PL2017,N,116,0.6422859999999999
13,261_FED_20160523c_3T2_PL2017,S,116,0.670974
13,261_FED_20160523c_3T2_PL2017,N,116,0.795063
13,407_FED_20160804a_3T1_PL2017,S,116,0.660161
13,407_FED_20160804a_3T1_PL2017,N,116,0.07194500000000001
13,408_FED_20160711a2_3T1_PL2017,S,116,-0.42382299999999995
13,408_FED_20160711a2_3T1_PL2017,N,116,-0.160281
13,409_FED_20160622a_3T1_PL2017,S,116,0.254389
13,409_FED_20160622a_3T1_PL2017,N,116,0.498196
13,410_FED_20160623b_3T2_PL2017,S,116,0.41684499999999997
13,410_FED_20160623b_3T2_PL2017,N,116,0.209525
13,730_FED_20190306a_3T2_PL2017,S,116,1.129226
13,730_FED_20190306a_3T2_PL2017,N,116,1.951229
13,776_FED_20190611b_3T2_PL2017,S,116,0.790493
13,776_FED_20190611b_3T2_PL2017,N,116,0.373729
13,291_FED_20160803c_3T1_PL2017,S,116,1.38964
13,291_FED_20160803c_3T1_PL2017,N,116,0.445729
13,400_FED_20160520a_3T1_PL2017,S,116,0.9031309999999999
13,400_FED_20160520a_3T1_PL2017,N,116,0.532582
13,419_FED_20160805a_3T1_PL2017,S,116,0.33489
13,419_FED_20160805a_3T1_PL2017,N,116,0.622459
