ROI,Subject,Effect, LocalizerSize,EffectSize
12,040_KAN_langevents_01_PL2017,Sem_photo,178,1.9091349999999998
12,040_KAN_langevents_01_PL2017,Perc_photo,178,1.558408
12,040_KAN_langevents_01_PL2017,Sem_sent,178,1.473471
12,040_KAN_langevents_01_PL2017,Perc_sent,178,1.126934
12,057_KAN_langevents_02_PL2017,Sem_photo,178,1.9930830000000002
12,057_KAN_langevents_02_PL2017,Perc_photo,178,1.200164
12,057_KAN_langevents_02_PL2017,Sem_sent,178,1.904106
12,057_KAN_langevents_02_PL2017,Perc_sent,178,1.0711680000000001
12,059_KAN_langevents_04_PL2017,Sem_photo,178,2.516727
12,059_KAN_langevents_04_PL2017,Perc_photo,178,1.172277
12,059_KAN_langevents_04_PL2017,Sem_sent,178,2.2881139999999998
12,059_KAN_langevents_04_PL2017,Perc_sent,178,1.238483
12,056_KAN_langevents_05_PL2017,Sem_photo,178,2.872712
12,056_KAN_langevents_05_PL2017,Perc_photo,178,2.850847
12,056_KAN_langevents_05_PL2017,Sem_sent,178,1.8813119999999999
12,056_KAN_langevents_05_PL2017,Perc_sent,178,2.200227
12,067_KAN_langevents_06_PL2017,Sem_photo,178,2.908863
12,067_KAN_langevents_06_PL2017,Perc_photo,178,2.354725
12,067_KAN_langevents_06_PL2017,Sem_sent,178,1.322534
12,067_KAN_langevents_06_PL2017,Perc_sent,178,0.337443
12,068_KAN_langevents_07_PL2017,Sem_photo,178,1.3961290000000002
12,068_KAN_langevents_07_PL2017,Perc_photo,178,1.501197
12,068_KAN_langevents_07_PL2017,Sem_sent,178,0.977506
12,068_KAN_langevents_07_PL2017,Perc_sent,178,0.9006850000000001
12,019_KAN_langevents_08_PL2017,Sem_photo,178,-0.025386000000000002
12,019_KAN_langevents_08_PL2017,Perc_photo,178,0.091657
12,019_KAN_langevents_08_PL2017,Sem_sent,178,0.143679
12,019_KAN_langevents_08_PL2017,Perc_sent,178,-0.97669
12,070_KAN_langevents_11_PL2017,Sem_photo,178,2.694234
12,070_KAN_langevents_11_PL2017,Perc_photo,178,1.259666
12,070_KAN_langevents_11_PL2017,Sem_sent,178,1.074302
12,070_KAN_langevents_11_PL2017,Perc_sent,178,0.070047
12,087_KAN_langevents_12_PL2017,Sem_photo,178,0.24464899999999998
12,087_KAN_langevents_12_PL2017,Perc_photo,178,0.25058400000000003
12,087_KAN_langevents_12_PL2017,Sem_sent,178,0.061125
12,087_KAN_langevents_12_PL2017,Perc_sent,178,-0.122297
12,078_KAN_langevents_13_PL2017,Sem_photo,178,1.043161
12,078_KAN_langevents_13_PL2017,Perc_photo,178,0.460374
12,078_KAN_langevents_13_PL2017,Sem_sent,178,-0.296428
12,078_KAN_langevents_13_PL2017,Perc_sent,178,0.03467
12,089_KAN_langevents_15_PL2017,Sem_photo,178,0.947025
12,089_KAN_langevents_15_PL2017,Perc_photo,178,1.407062
12,089_KAN_langevents_15_PL2017,Sem_sent,178,1.133931
12,089_KAN_langevents_15_PL2017,Perc_sent,178,1.179157
