ROI,Subject,Effect, LocalizerSize,EffectSize
12,040_KAN_langevents_01_PL2017,S,178,1.384293
12,040_KAN_langevents_01_PL2017,W,178,1.632681
12,040_KAN_langevents_01_PL2017,N,178,1.907919
12,057_KAN_langevents_02_PL2017,S,178,2.456413
12,057_KAN_langevents_02_PL2017,W,178,4.581765
12,057_KAN_langevents_02_PL2017,N,178,2.498048
12,059_KAN_langevents_04_PL2017,S,178,1.55982
12,059_KAN_langevents_04_PL2017,W,178,1.4624700000000002
12,059_KAN_langevents_04_PL2017,N,178,1.287735
12,056_KAN_langevents_05_PL2017,S,178,0.520334
12,056_KAN_langevents_05_PL2017,W,178,0.933739
12,056_KAN_langevents_05_PL2017,N,178,1.183101
12,067_KAN_langevents_06_PL2017,S,178,0.134729
12,067_KAN_langevents_06_PL2017,W,178,-0.9061670000000001
12,067_KAN_langevents_06_PL2017,N,178,-0.1364
12,068_KAN_langevents_07_PL2017,S,178,0.568867
12,068_KAN_langevents_07_PL2017,W,178,0.8659
12,068_KAN_langevents_07_PL2017,N,178,1.03667
12,019_KAN_langevents_08_PL2017,S,178,0.147096
12,019_KAN_langevents_08_PL2017,W,178,0.317722
12,019_KAN_langevents_08_PL2017,N,178,1.002409
12,070_KAN_langevents_11_PL2017,S,178,1.0294530000000002
12,070_KAN_langevents_11_PL2017,W,178,0.948909
12,070_KAN_langevents_11_PL2017,N,178,0.969724
12,087_KAN_langevents_12_PL2017,S,178,0.069098
12,087_KAN_langevents_12_PL2017,W,178,0.006983
12,087_KAN_langevents_12_PL2017,N,178,0.178386
12,078_KAN_langevents_13_PL2017,S,178,0.105269
12,078_KAN_langevents_13_PL2017,W,178,0.20388199999999998
12,078_KAN_langevents_13_PL2017,N,178,0.22081900000000002
12,089_KAN_langevents_15_PL2017,S,178,-0.118468
12,089_KAN_langevents_15_PL2017,W,178,-0.147196
12,089_KAN_langevents_15_PL2017,N,178,-0.090516
12,076_KAN_langevents_16_PL2017,S,178,1.1570850000000001
12,076_KAN_langevents_16_PL2017,W,178,1.15504
12,076_KAN_langevents_16_PL2017,N,178,1.8463080000000003
13,040_KAN_langevents_01_PL2017,S,116,0.317031
13,040_KAN_langevents_01_PL2017,W,116,0.354107
13,040_KAN_langevents_01_PL2017,N,116,0.44347700000000007
13,057_KAN_langevents_02_PL2017,S,116,2.728339
13,057_KAN_langevents_02_PL2017,W,116,4.503601000000001
13,057_KAN_langevents_02_PL2017,N,116,1.9237330000000001
13,059_KAN_langevents_04_PL2017,S,116,0.740796
13,059_KAN_langevents_04_PL2017,W,116,0.713295
13,059_KAN_langevents_04_PL2017,N,116,0.482096
13,056_KAN_langevents_05_PL2017,S,116,-0.231555
13,056_KAN_langevents_05_PL2017,W,116,-0.284066
13,056_KAN_langevents_05_PL2017,N,116,0.246581
13,067_KAN_langevents_06_PL2017,S,116,-0.707947
13,067_KAN_langevents_06_PL2017,W,116,-1.510174
13,067_KAN_langevents_06_PL2017,N,116,-0.069689
13,068_KAN_langevents_07_PL2017,S,116,0.7211
13,068_KAN_langevents_07_PL2017,W,116,0.764364
13,068_KAN_langevents_07_PL2017,N,116,0.439083
13,019_KAN_langevents_08_PL2017,S,116,-0.28818
