ROI,Subject,Effect, LocalizerSize,EffectSize
12,249_FED_20160519a_3T1_PL2017,H,178,1.6792060000000002
12,249_FED_20160519a_3T1_PL2017,E,178,1.022583
12,252_FED_20160907b_3T2_PL2017,H,178,4.730891000000001
12,252_FED_20160907b_3T2_PL2017,E,178,2.6458180000000002
12,291_FED_20160803c_3T1_PL2017,H,178,2.229782
12,291_FED_20160803c_3T1_PL2017,E,178,1.746332
12,301_FED_20160908b_3T1_PL2017,H,178,3.3735980000000003
12,301_FED_20160908b_3T1_PL2017,E,178,1.810341
12,376_FED_20160519b_3T1_PL2017,H,178,1.8127360000000001
12,376_FED_20160519b_3T1_PL2017,E,178,0.776037
12,399_FED_20160519d_3T1_PL2017,H,178,-0.364469
12,399_FED_20160519d_3T1_PL2017,E,178,-0.5399729999999999
12,400_FED_20160520a_3T1_PL2017,H,178,1.2524950000000001
12,400_FED_20160520a_3T1_PL2017,E,178,0.395949
12,401_FED_20160520d_3T1_PL2017,H,178,1.3843530000000002
12,401_FED_20160520d_3T1_PL2017,E,178,1.023084
12,419_FED_20160805a_3T1_PL2017,H,178,0.015977
12,419_FED_20160805a_3T1_PL2017,E,178,-0.1988
12,420_FED_20160805b_3T1_PL2017,H,178,1.301145
12,420_FED_20160805b_3T1_PL2017,E,178,0.735445
12,426_FED_20160908d_3T1_PL2017,H,178,0.942549
12,426_FED_20160908d_3T1_PL2017,E,178,0.25554699999999997
12,682_FED_20190426a_3T2_PL2017,H,178,2.490246
12,682_FED_20190426a_3T2_PL2017,E,178,2.026241
12,767_FED_20190418b_3T2_PL2017,H,178,-0.546242
12,767_FED_20190418b_3T2_PL2017,E,178,-0.782524
12,769_FED_20190522a_3T2_PL2017,H,178,0.323554
12,769_FED_20190522a_3T2_PL2017,E,178,0.5823050000000001
12,770_FED_20190523b_3T2_PL2017,H,178,3.246366
12,770_FED_20190523b_3T2_PL2017,E,178,1.768325
12,773_FED_20190605c_3T2_PL2017,H,178,3.0072229999999998
12,773_FED_20190605c_3T2_PL2017,E,178,2.256059
12,774_FED_20190605b_3T2_PL2017,H,178,4.553018
12,774_FED_20190605b_3T2_PL2017,E,178,2.904027
12,775_FED_20190611a_3T2_PL2017,H,178,0.7439979999999999
12,775_FED_20190611a_3T2_PL2017,E,178,0.664667
12,778_FED_20190614b_3T2_PL2017,H,178,1.557521
12,778_FED_20190614b_3T2_PL2017,E,178,1.078086
12,863_FED_20211124a_3T1_PL2017,H,178,2.2630169999999996
12,863_FED_20211124a_3T1_PL2017,E,178,1.647646
13,249_FED_20160519a_3T1_PL2017,H,116,-0.13350399999999998
13,249_FED_20160519a_3T1_PL2017,E,116,-0.498403
13,252_FED_20160907b_3T2_PL2017,H,116,1.34273
13,252_FED_20160907b_3T2_PL2017,E,116,0.32743099999999997
13,291_FED_20160803c_3T1_PL2017,H,116,0.38190599999999997
13,291_FED_20160803c_3T1_PL2017,E,116,0.651339
13,301_FED_20160908b_3T1_PL2017,H,116,1.4178819999999999
13,301_FED_20160908b_3T1_PL2017,E,116,0.729121
13,376_FED_20160519b_3T1_PL2017,H,116,-0.835216
13,376_FED_20160519b_3T1_PL2017,E,116,-0.48866499999999996
13,399_FED_20160519d_3T1_PL2017,H,116,-0.708256
13,399_FED_20160519d_3T1_PL2017,E,116,-1.047688
13,400_FED_20160520a_3T1_PL2017,H,116,0.319801
13,400_FED_20160520a_3T1_PL2017,E,116,-0.084984
13,401_FED_20160520d_3T1_PL2017,H,116,0.181774
13,401_FED_20160520d_3T1_PL2017,E,116,0.38438
13,419_FED_20160805a_3T1_PL2017,H,116,0.49168100000000003
13,419_FED_20160805a_3T1_PL2017,E,116,0.429642
13,420_FED_20160805b_3T1_PL2017,H,116,1.337021
13,420_FED_20160805b_3T1_PL2017,E,116,0.83249
13,426_FED_20160908d_3T1_PL2017,H,116,0.7457600000000001
13,426_FED_20160908d_3T1_PL2017,E,116,0.10736099999999998
13,682_FED_20190426a_3T2_PL2017,H,116,0.031964
13,682_FED_20190426a_3T2_PL2017,E,116,0.09060800000000001
13,767_FED_20190418b_3T2_PL2017,H,116,0.794985
13,767_FED_20190418b_3T2_PL2017,E,116,-0.049152
13,769_FED_20190522a_3T2_PL2017,H,116,-1.368188
13,769_FED_20190522a_3T2_PL2017,E,116,-0.9089790000000001
13,770_FED_20190523b_3T2_PL2017,H,116,2.4857099999999996
13,770_FED_20190523b_3T2_PL2017,E,116,0.8830709999999999
13,773_FED_20190605c_3T2_PL2017,H,116,1.409084
13,773_FED_20190605c_3T2_PL2017,E,116,0.613921
13,774_FED_20190605b_3T2_PL2017,H,116,4.75981
13,774_FED_20190605b_3T2_PL2017,E,116,1.734691
13,775_FED_20190611a_3T2_PL2017,H,116,-0.9279280000000001
13,775_FED_20190611a_3T2_PL2017,E,116,-0.438874
13,778_FED_20190614b_3T2_PL2017,H,116,-0.720537
13,778_FED_20190614b_3T2_PL2017,E,116,-0.608268
13,863_FED_20211124a_3T1_PL2017,H,116,1.6589909999999999
13,863_FED_20211124a_3T1_PL2017,E,116,1.149407
14,249_FED_20160519a_3T1_PL2017,H,46,-0.8601200000000001
14,249_FED_20160519a_3T1_PL2017,E,46,-0.48823999999999995
14,252_FED_20160907b_3T2_PL2017,H,46,2.0861400000000003
14,252_FED_20160907b_3T2_PL2017,E,46,0.6195039999999999
14,291_FED_20160803c_3T1_PL2017,H,46,0.743376
14,291_FED_20160803c_3T1_PL2017,E,46,0.584152
14,301_FED_20160908b_3T1_PL2017,H,46,1.243462
14,301_FED_20160908b_3T1_PL2017,E,46,0.69892
14,376_FED_20160519b_3T1_PL2017,H,46,1.899692
14,376_FED_20160519b_3T1_PL2017,E,46,0.276652
14,399_FED_20160519d_3T1_PL2017,H,46,-0.9040090000000001
14,399_FED_20160519d_3T1_PL2017,E,46,-0.277437
14,400_FED_20160520a_3T1_PL2017,H,46,0.727869
14,400_FED_20160520a_3T1_PL2017,E,46,-0.048728
14,401_FED_20160520d_3T1_PL2017,H,46,0.378807
14,401_FED_20160520d_3T1_PL2017,E,46,0.246031
14,419_FED_20160805a_3T1_PL2017,H,46,-0.002971
14,419_FED_20160805a_3T1_PL2017,E,46,0.041817
14,420_FED_20160805b_3T1_PL2017,H,46,2.226851
14,420_FED_20160805b_3T1_PL2017,E,46,1.0922530000000001
14,426_FED_20160908d_3T1_PL2017,H,46,-0.79697
14,426_FED_20160908d_3T1_PL2017,E,46,-1.085965
14,682_FED_20190426a_3T2_PL2017,H,46,0.41330900000000004
14,682_FED_20190426a_3T2_PL2017,E,46,0.152172
14,767_FED_20190418b_3T2_PL2017,H,46,-0.7917890000000001
14,767_FED_20190418b_3T2_PL2017,E,46,-1.206129
14,769_FED_20190522a_3T2_PL2017,H,46,-0.526682
14,769_FED_20190522a_3T2_PL2017,E,46,0.22849899999999998
14,770_FED_20190523b_3T2_PL2017,H,46,3.334687
14,770_FED_20190523b_3T2_PL2017,E,46,1.984018
14,773_FED_20190605c_3T2_PL2017,H,46,-0.082226
14,773_FED_20190605c_3T2_PL2017,E,46,0.056808000000000004
14,774_FED_20190605b_3T2_PL2017,H,46,1.8081349999999998
14,774_FED_20190605b_3T2_PL2017,E,46,0.424541
14,775_FED_20190611a_3T2_PL2017,H,46,-1.225958
14,775_FED_20190611a_3T2_PL2017,E,46,-0.687167
14,778_FED_20190614b_3T2_PL2017,H,46,-1.3106520000000002
14,778_FED_20190614b_3T2_PL2017,E,46,-0.9179889999999999
14,863_FED_20211124a_3T1_PL2017,H,46,0.267769
14,863_FED_20211124a_3T1_PL2017,E,46,0.120352
15,249_FED_20160519a_3T1_PL2017,H,107,0.777663
15,249_FED_20160519a_3T1_PL2017,E,107,0.41164300000000004
15,252_FED_20160907b_3T2_PL2017,H,107,2.208108
15,252_FED_20160907b_3T2_PL2017,E,107,1.360017
15,291_FED_20160803c_3T1_PL2017,H,107,1.195565
15,291_FED_20160803c_3T1_PL2017,E,107,1.006308
15,301_FED_20160908b_3T1_PL2017,H,107,1.8123810000000002
15,301_FED_20160908b_3T1_PL2017,E,107,1.333525
15,376_FED_20160519b_3T1_PL2017,H,107,1.743391
15,376_FED_20160519b_3T1_PL2017,E,107,1.40009
15,399_FED_20160519d_3T1_PL2017,H,107,2.792426
15,399_FED_20160519d_3T1_PL2017,E,107,1.344708
15,400_FED_20160520a_3T1_PL2017,H,107,1.8680299999999999
15,400_FED_20160520a_3T1_PL2017,E,107,1.593308
15,401_FED_20160520d_3T1_PL2017,H,107,0.636912
15,401_FED_20160520d_3T1_PL2017,E,107,0.352125
15,419_FED_20160805a_3T1_PL2017,H,107,0.175046
15,419_FED_20160805a_3T1_PL2017,E,107,0.15223599999999998
15,420_FED_20160805b_3T1_PL2017,H,107,2.819355
15,420_FED_20160805b_3T1_PL2017,E,107,2.175033
15,426_FED_20160908d_3T1_PL2017,H,107,1.0664930000000001
15,426_FED_20160908d_3T1_PL2017,E,107,0.816041
15,682_FED_20190426a_3T2_PL2017,H,107,4.079828
15,682_FED_20190426a_3T2_PL2017,E,107,3.659442
15,767_FED_20190418b_3T2_PL2017,H,107,0.7585
15,767_FED_20190418b_3T2_PL2017,E,107,0.401401
15,769_FED_20190522a_3T2_PL2017,H,107,1.9769849999999998
15,769_FED_20190522a_3T2_PL2017,E,107,1.7036759999999997
15,770_FED_20190523b_3T2_PL2017,H,107,1.3247950000000002
15,770_FED_20190523b_3T2_PL2017,E,107,1.0573139999999999
15,773_FED_20190605c_3T2_PL2017,H,107,2.368647
15,773_FED_20190605c_3T2_PL2017,E,107,2.000394
15,774_FED_20190605b_3T2_PL2017,H,107,2.435119
15,774_FED_20190605b_3T2_PL2017,E,107,1.614311
15,775_FED_20190611a_3T2_PL2017,H,107,2.755242
15,775_FED_20190611a_3T2_PL2017,E,107,2.73802
15,778_FED_20190614b_3T2_PL2017,H,107,1.8029990000000002
15,778_FED_20190614b_3T2_PL2017,E,107,1.516169
15,863_FED_20211124a_3T1_PL2017,H,107,4.285137000000001
15,863_FED_20211124a_3T1_PL2017,E,107,3.386453
16,249_FED_20160519a_3T1_PL2017,H,98,5.154086
16,249_FED_20160519a_3T1_PL2017,E,98,3.149491
16,252_FED_20160907b_3T2_PL2017,H,98,10.220708
16,252_FED_20160907b_3T2_PL2017,E,98,7.599011999999999
16,291_FED_20160803c_3T1_PL2017,H,98,1.796676
16,291_FED_20160803c_3T1_PL2017,E,98,1.5819590000000001
16,301_FED_20160908b_3T1_PL2017,H,98,2.2671099999999997
16,301_FED_20160908b_3T1_PL2017,E,98,1.2373530000000001
16,376_FED_20160519b_3T1_PL2017,H,98,3.198209
16,376_FED_20160519b_3T1_PL2017,E,98,2.441745
16,399_FED_20160519d_3T1_PL2017,H,98,0.07954
16,399_FED_20160519d_3T1_PL2017,E,98,-0.067989
16,400_FED_20160520a_3T1_PL2017,H,98,5.047261
16,400_FED_20160520a_3T1_PL2017,E,98,3.9989260000000004
16,401_FED_20160520d_3T1_PL2017,H,98,-0.382682
16,401_FED_20160520d_3T1_PL2017,E,98,-0.47472299999999995
16,419_FED_20160805a_3T1_PL2017,H,98,0.5163260000000001
16,419_FED_20160805a_3T1_PL2017,E,98,0.6072390000000001
16,420_FED_20160805b_3T1_PL2017,H,98,1.5996290000000002
16,420_FED_20160805b_3T1_PL2017,E,98,1.311613
16,426_FED_20160908d_3T1_PL2017,H,98,-0.28986300000000004
16,426_FED_20160908d_3T1_PL2017,E,98,-1.16051
16,682_FED_20190426a_3T2_PL2017,H,98,5.93984
16,682_FED_20190426a_3T2_PL2017,E,98,5.373462
16,767_FED_20190418b_3T2_PL2017,H,98,5.508845
16,767_FED_20190418b_3T2_PL2017,E,98,3.6908190000000003
16,769_FED_20190522a_3T2_PL2017,H,98,1.6845119999999998
16,769_FED_20190522a_3T2_PL2017,E,98,1.5790440000000001
16,770_FED_20190523b_3T2_PL2017,H,98,3.373991
16,770_FED_20190523b_3T2_PL2017,E,98,2.154241
16,773_FED_20190605c_3T2_PL2017,H,98,5.678063
16,773_FED_20190605c_3T2_PL2017,E,98,4.2127930000000005
16,774_FED_20190605b_3T2_PL2017,H,98,5.501893
16,774_FED_20190605b_3T2_PL2017,E,98,4.006168
16,775_FED_20190611a_3T2_PL2017,H,98,0.16974
16,775_FED_20190611a_3T2_PL2017,E,98,0.24082800000000001
16,778_FED_20190614b_3T2_PL2017,H,98,3.174521
16,778_FED_20190614b_3T2_PL2017,E,98,2.0024439999999997
16,863_FED_20211124a_3T1_PL2017,H,98,3.021152
16,863_FED_20211124a_3T1_PL2017,E,98,2.170249
17,249_FED_20160519a_3T1_PL2017,H,125,0.584983
17,249_FED_20160519a_3T1_PL2017,E,125,0.320658
17,252_FED_20160907b_3T2_PL2017,H,125,1.095422
17,252_FED_20160907b_3T2_PL2017,E,125,0.499482
17,291_FED_20160803c_3T1_PL2017,H,125,0.018383
17,291_FED_20160803c_3T1_PL2017,E,125,0.025575
17,301_FED_20160908b_3T1_PL2017,H,125,0.219529
17,301_FED_20160908b_3T1_PL2017,E,125,0.45197299999999996
17,376_FED_20160519b_3T1_PL2017,H,125,-0.982108
17,376_FED_20160519b_3T1_PL2017,E,125,-0.8423639999999999
17,399_FED_20160519d_3T1_PL2017,H,125,-1.630617
17,399_FED_20160519d_3T1_PL2017,E,125,-0.8932370000000001
17,400_FED_20160520a_3T1_PL2017,H,125,0.45838
17,400_FED_20160520a_3T1_PL2017,E,125,0.397816
17,401_FED_20160520d_3T1_PL2017,H,125,-0.053165
17,401_FED_20160520d_3T1_PL2017,E,125,0.19450699999999999
17,419_FED_20160805a_3T1_PL2017,H,125,-0.140344
17,419_FED_20160805a_3T1_PL2017,E,125,-0.330392
17,420_FED_20160805b_3T1_PL2017,H,125,0.173376
17,420_FED_20160805b_3T1_PL2017,E,125,0.282001
17,426_FED_20160908d_3T1_PL2017,H,125,-0.904233
17,426_FED_20160908d_3T1_PL2017,E,125,-0.806726
17,682_FED_20190426a_3T2_PL2017,H,125,-1.42821
17,682_FED_20190426a_3T2_PL2017,E,125,-1.132802
17,767_FED_20190418b_3T2_PL2017,H,125,-0.546269
17,767_FED_20190418b_3T2_PL2017,E,125,-0.726174
17,769_FED_20190522a_3T2_PL2017,H,125,0.6353270000000001
17,769_FED_20190522a_3T2_PL2017,E,125,0.735907
17,770_FED_20190523b_3T2_PL2017,H,125,1.0756780000000001
17,770_FED_20190523b_3T2_PL2017,E,125,0.667148
17,773_FED_20190605c_3T2_PL2017,H,125,1.2002059999999999
17,773_FED_20190605c_3T2_PL2017,E,125,0.660824
17,774_FED_20190605b_3T2_PL2017,H,125,1.32434
17,774_FED_20190605b_3T2_PL2017,E,125,0.592064
17,775_FED_20190611a_3T2_PL2017,H,125,0.051129
17,775_FED_20190611a_3T2_PL2017,E,125,0.562606
17,778_FED_20190614b_3T2_PL2017,H,125,-0.20832699999999998
17,778_FED_20190614b_3T2_PL2017,E,125,0.13961600000000002
17,863_FED_20211124a_3T1_PL2017,H,125,2.0062740000000003
17,863_FED_20211124a_3T1_PL2017,E,125,1.6742380000000001
18,249_FED_20160519a_3T1_PL2017,H,181,0.113045
18,249_FED_20160519a_3T1_PL2017,E,181,0.009501
18,252_FED_20160907b_3T2_PL2017,H,181,0.026652999999999996
18,252_FED_20160907b_3T2_PL2017,E,181,-0.27537
18,291_FED_20160803c_3T1_PL2017,H,181,1.015313
18,291_FED_20160803c_3T1_PL2017,E,181,0.984585
18,301_FED_20160908b_3T1_PL2017,H,181,-0.9538040000000001
18,301_FED_20160908b_3T1_PL2017,E,181,-0.53803
18,376_FED_20160519b_3T1_PL2017,H,181,-0.779886
18,376_FED_20160519b_3T1_PL2017,E,181,0.31105
18,399_FED_20160519d_3T1_PL2017,H,181,-0.94358
18,399_FED_20160519d_3T1_PL2017,E,181,-0.677025
