ROI,Subject,Effect, LocalizerSize,EffectSize
12,291_FED_20160803c_3T1_PL2017,Pic_Sem,178,0.44767700000000005
12,291_FED_20160803c_3T1_PL2017,Pic_Perc,178,0.21911599999999998
12,291_FED_20160803c_3T1_PL2017,Sent_Sem,178,0.863326
12,291_FED_20160803c_3T1_PL2017,Sent_Perc,178,0.196657
12,400_FED_20160520a_3T1_PL2017,Pic_Sem,178,-0.063988
12,400_FED_20160520a_3T1_PL2017,Pic_Perc,178,-0.16271
12,400_FED_20160520a_3T1_PL2017,Sent_Sem,178,-0.511133
12,400_FED_20160520a_3T1_PL2017,Sent_Perc,178,-0.068128
12,419_FED_20160805a_3T1_PL2017,Pic_Sem,178,-0.0727
12,419_FED_20160805a_3T1_PL2017,Pic_Perc,178,0.050131
12,419_FED_20160805a_3T1_PL2017,Sent_Sem,178,0.673711
12,419_FED_20160805a_3T1_PL2017,Sent_Perc,178,-0.358464
12,773_FED_20190605c_3T2_PL2017,Pic_Sem,178,2.377062
12,773_FED_20190605c_3T2_PL2017,Pic_Perc,178,4.685331
12,773_FED_20190605c_3T2_PL2017,Sent_Sem,178,2.8396209999999997
12,773_FED_20190605c_3T2_PL2017,Sent_Perc,178,4.174936
12,774_FED_20190605b_3T2_PL2017,Pic_Sem,178,5.779132
12,774_FED_20190605b_3T2_PL2017,Pic_Perc,178,6.943366
12,774_FED_20190605b_3T2_PL2017,Sent_Sem,178,6.5217
12,774_FED_20190605b_3T2_PL2017,Sent_Perc,178,7.182786999999999
12,775_FED_20190611a_3T2_PL2017,Pic_Sem,178,2.4552
12,775_FED_20190611a_3T2_PL2017,Pic_Perc,178,2.6315150000000003
12,775_FED_20190611a_3T2_PL2017,Sent_Sem,178,4.373443
12,775_FED_20190611a_3T2_PL2017,Sent_Perc,178,2.4732220000000003
12,778_FED_20190614b_3T2_PL2017,Pic_Sem,178,7.288261
12,778_FED_20190614b_3T2_PL2017,Pic_Perc,178,4.573624
12,778_FED_20190614b_3T2_PL2017,Sent_Sem,178,3.645831
12,778_FED_20190614b_3T2_PL2017,Sent_Perc,178,2.6347099999999997
13,291_FED_20160803c_3T1_PL2017,Pic_Sem,116,-0.182997
13,291_FED_20160803c_3T1_PL2017,Pic_Perc,116,2.799068
13,291_FED_20160803c_3T1_PL2017,Sent_Sem,116,2.433795
13,291_FED_20160803c_3T1_PL2017,Sent_Perc,116,0.9400459999999999
13,400_FED_20160520a_3T1_PL2017,Pic_Sem,116,0.23165700000000003
13,400_FED_20160520a_3T1_PL2017,Pic_Perc,116,-0.056649
13,400_FED_20160520a_3T1_PL2017,Sent_Sem,116,-0.196864
13,400_FED_20160520a_3T1_PL2017,Sent_Perc,116,0.194438
13,419_FED_20160805a_3T1_PL2017,Pic_Sem,116,-0.585004
13,419_FED_20160805a_3T1_PL2017,Pic_Perc,116,-0.306282
13,419_FED_20160805a_3T1_PL2017,Sent_Sem,116,-0.8626940000000001
13,419_FED_20160805a_3T1_PL2017,Sent_Perc,116,-1.585105
13,773_FED_20190605c_3T2_PL2017,Pic_Sem,116,-0.22893200000000002
13,773_FED_20190605c_3T2_PL2017,Pic_Perc,116,1.874587
13,773_FED_20190605c_3T2_PL2017,Sent_Sem,116,0.491479
13,773_FED_20190605c_3T2_PL2017,Sent_Perc,116,1.506859
13,774_FED_20190605b_3T2_PL2017,Pic_Sem,116,4.454632
13,774_FED_20190605b_3T2_PL2017,Pic_Perc,116,4.00729
13,774_FED_20190605b_3T2_PL2017,Sent_Sem,116,4.427698
13,774_FED_20190605b_3T2_PL2017,Sent_Perc,116,4.836082
13,775_FED_20190611a_3T2_PL2017,Pic_Sem,116,0.702873
13,775_FED_20190611a_3T2_PL2017,Pic_Perc,116,0.804845
13,775_FED_20190611a_3T2_PL2017,Sent_Sem,116,2.1510849999999997
13,775_FED_20190611a_3T2_PL2017,Sent_Perc,116,0.5012409999999999
13,778_FED_20190614b_3T2_PL2017,Pic_Sem,116,3.003981
13,778_FED_20190614b_3T2_PL2017,Pic_Perc,116,1.177632
13,778_FED_20190614b_3T2_PL2017,Sent_Sem,116,-0.016484
13,778_FED_20190614b_3T2_PL2017,Sent_Perc,116,-0.013777000000000001
14,291_FED_20160803c_3T1_PL2017,Pic_Sem,46,-2.6063240000000003
14,291_FED_20160803c_3T1_PL2017,Pic_Perc,46,-1.1008719999999999
14,291_FED_20160803c_3T1_PL2017,Sent_Sem,46,-0.6804560000000001
14,291_FED_20160803c_3T1_PL2017,Sent_Perc,46,-0.8821319999999999
14,400_FED_20160520a_3T1_PL2017,Pic_Sem,46,-0.377386
14,400_FED_20160520a_3T1_PL2017,Pic_Perc,46,0.48763599999999996
14,400_FED_20160520a_3T1_PL2017,Sent_Sem,46,-0.049637
14,400_FED_20160520a_3T1_PL2017,Sent_Perc,46,-0.13664300000000001
14,419_FED_20160805a_3T1_PL2017,Pic_Sem,46,-0.609915
14,419_FED_20160805a_3T1_PL2017,Pic_Perc,46,-0.025463
14,419_FED_20160805a_3T1_PL2017,Sent_Sem,46,-0.84888
14,419_FED_20160805a_3T1_PL2017,Sent_Perc,46,-0.439968
14,773_FED_20190605c_3T2_PL2017,Pic_Sem,46,0.497625
14,773_FED_20190605c_3T2_PL2017,Pic_Perc,46,1.649475
14,773_FED_20190605c_3T2_PL2017,Sent_Sem,46,0.737173
14,773_FED_20190605c_3T2_PL2017,Sent_Perc,46,1.279279
14,774_FED_20190605b_3T2_PL2017,Pic_Sem,46,1.3289879999999998
14,774_FED_20190605b_3T2_PL2017,Pic_Perc,46,0.8709540000000001
14,774_FED_20190605b_3T2_PL2017,Sent_Sem,46,1.133271
14,774_FED_20190605b_3T2_PL2017,Sent_Perc,46,0.820139
14,775_FED_20190611a_3T2_PL2017,Pic_Sem,46,-0.982411
14,775_FED_20190611a_3T2_PL2017,Pic_Perc,46,-1.244107
14,775_FED_20190611a_3T2_PL2017,Sent_Sem,46,0.723657
14,775_FED_20190611a_3T2_PL2017,Sent_Perc,46,-0.515679
14,778_FED_20190614b_3T2_PL2017,Pic_Sem,46,1.989913
14,778_FED_20190614b_3T2_PL2017,Pic_Perc,46,-0.072962
14,778_FED_20190614b_3T2_PL2017,Sent_Sem,46,0.84316
14,778_FED_20190614b_3T2_PL2017,Sent_Perc,46,0.8874860000000001
15,291_FED_20160803c_3T1_PL2017,Pic_Sem,107,0.144538
15,291_FED_20160803c_3T1_PL2017,Pic_Perc,107,0.528583
15,291_FED_20160803c_3T1_PL2017,Sent_Sem,107,1.03987
15,291_FED_20160803c_3T1_PL2017,Sent_Perc,107,0.31305900000000003
15,400_FED_20160520a_3T1_PL2017,Pic_Sem,107,0.177556
15,400_FED_20160520a_3T1_PL2017,Pic_Perc,107,0.04537
15,400_FED_20160520a_3T1_PL2017,Sent_Sem,107,-0.387268
15,400_FED_20160520a_3T1_PL2017,Sent_Perc,107,0.539221
15,419_FED_20160805a_3T1_PL2017,Pic_Sem,107,-0.420436
15,419_FED_20160805a_3T1_PL2017,Pic_Perc,107,1.400126
15,419_FED_20160805a_3T1_PL2017,Sent_Sem,107,0.896641
15,419_FED_20160805a_3T1_PL2017,Sent_Perc,107,-0.246608
15,773_FED_20190605c_3T2_PL2017,Pic_Sem,107,2.122086
15,773_FED_20190605c_3T2_PL2017,Pic_Perc,107,2.351614
15,773_FED_20190605c_3T2_PL2017,Sent_Sem,107,1.6921709999999999
15,773_FED_20190605c_3T2_PL2017,Sent_Perc,107,2.482225
15,774_FED_20190605b_3T2_PL2017,Pic_Sem,107,2.855607
