ROI,Subject,Effect, LocalizerSize,EffectSize
12,199_FED_20160711c_3T1_PL2017,Sem-photo,178,1.544813
12,199_FED_20160711c_3T1_PL2017,Perc-photo,178,0.46898199999999995
12,199_FED_20160711c_3T1_PL2017,Sem-sent,178,1.717295
12,199_FED_20160711c_3T1_PL2017,Perc-sent,178,0.679262
12,261_FED_20160523c_3T2_PL2017,Sem-photo,178,2.586765
12,261_FED_20160523c_3T2_PL2017,Perc-photo,178,2.026836
12,261_FED_20160523c_3T2_PL2017,Sem-sent,178,1.747338
12,261_FED_20160523c_3T2_PL2017,Perc-sent,178,1.454216
12,407_FED_20160804a_3T1_PL2017,Sem-photo,178,2.6974650000000002
12,407_FED_20160804a_3T1_PL2017,Perc-photo,178,0.922433
12,407_FED_20160804a_3T1_PL2017,Sem-sent,178,2.294148
12,407_FED_20160804a_3T1_PL2017,Perc-sent,178,0.550988
12,408_FED_20160711a2_3T1_PL2017,Sem-photo,178,4.614864
12,408_FED_20160711a2_3T1_PL2017,Perc-photo,178,1.651723
12,408_FED_20160711a2_3T1_PL2017,Sem-sent,178,3.299743
12,408_FED_20160711a2_3T1_PL2017,Perc-sent,178,1.791133
12,409_FED_20160622a_3T1_PL2017,Sem-photo,178,2.1789959999999997
12,409_FED_20160622a_3T1_PL2017,Perc-photo,178,1.9924490000000001
12,409_FED_20160622a_3T1_PL2017,Sem-sent,178,1.276206
12,409_FED_20160622a_3T1_PL2017,Perc-sent,178,1.8810919999999998
12,410_FED_20160623b_3T2_PL2017,Sem-photo,178,1.209388
12,410_FED_20160623b_3T2_PL2017,Perc-photo,178,0.553348
12,410_FED_20160623b_3T2_PL2017,Sem-sent,178,0.8553299999999999
12,410_FED_20160623b_3T2_PL2017,Perc-sent,178,0.227357
12,730_FED_20190306a_3T2_PL2017,Sem-photo,178,2.080134
12,730_FED_20190306a_3T2_PL2017,Perc-photo,178,1.274599
12,730_FED_20190306a_3T2_PL2017,Sem-sent,178,1.755065
12,730_FED_20190306a_3T2_PL2017,Perc-sent,178,0.803763
12,776_FED_20190611b_3T2_PL2017,Sem-photo,178,0.9326030000000001
12,776_FED_20190611b_3T2_PL2017,Perc-photo,178,2.901612
12,776_FED_20190611b_3T2_PL2017,Sem-sent,178,0.84445
12,776_FED_20190611b_3T2_PL2017,Perc-sent,178,2.2424560000000002
12,291_FED_20160803c_3T1_PL2017,Sem-photo,178,2.2306
12,291_FED_20160803c_3T1_PL2017,Perc-photo,178,2.313687
