ROI,Subject,Effect, LocalizerSize,EffectSize
12,199_KAN_parametric_20_PL2017,H,178,1.350606
12,199_KAN_parametric_20_PL2017,E,178,0.64017
12,261_FED_20160523c_3T2_PL2017,H,178,4.042741
12,261_FED_20160523c_3T2_PL2017,E,178,3.435031
12,407_FED_20160804a_3T1_PL2017,H,178,0.779345
12,407_FED_20160804a_3T1_PL2017,E,178,0.48876099999999995
12,408_FED_20160711a2_3T1_PL2017,H,178,-0.498896
12,408_FED_20160711a2_3T1_PL2017,E,178,-0.454032
12,409_FED_20160622a_3T1_PL2017,H,178,1.185757
12,409_FED_20160622a_3T1_PL2017,E,178,0.5879449999999999
12,410_FED_20160623b_3T2_PL2017,H,178,0.9583950000000001
12,410_FED_20160623b_3T2_PL2017,E,178,0.40265100000000004
12,730_FED_20190306a_3T2_PL2017,H,178,1.6687299999999998
12,730_FED_20190306a_3T2_PL2017,E,178,0.721336
12,776_FED_20190611b_3T2_PL2017,H,178,1.584745
12,776_FED_20190611b_3T2_PL2017,E,178,0.8671200000000001
12,291_FED_20160803c_3T1_PL2017,H,178,1.055597
12,291_FED_20160803c_3T1_PL2017,E,178,0.8907309999999999
12,400_FED_20160520a_3T1_PL2017,H,178,3.5002160000000004
12,400_FED_20160520a_3T1_PL2017,E,178,1.085329
12,419_FED_20160805a_3T1_PL2017,H,178,0.36899899999999997
12,419_FED_20160805a_3T1_PL2017,E,178,0.33721599999999996
12,773_FED_20190605c_3T2_PL2017,H,178,1.789511
12,773_FED_20190605c_3T2_PL2017,E,178,1.279435
12,774_FED_20190605b_3T2_PL2017,H,178,1.499219
12,774_FED_20190605b_3T2_PL2017,E,178,0.242171
12,775_FED_20190611a_3T2_PL2017,H,178,1.603533
12,775_FED_20190611a_3T2_PL2017,E,178,1.112498
12,778_FED_20190614b_3T2_PL2017,H,178,2.9841990000000003
12,778_FED_20190614b_3T2_PL2017,E,178,2.208138
13,199_KAN_parametric_20_PL2017,H,116,1.259287
13,199_KAN_parametric_20_PL2017,E,116,0.589955
13,261_FED_20160523c_3T2_PL2017,H,116,1.8962009999999998
