ROI,Subject,Effect, LocalizerSize,EffectSize
12,040_KAN_langevents_01_PL2017,S,178,2.2608189999999997
12,040_KAN_langevents_01_PL2017,W,178,2.394888
12,040_KAN_langevents_01_PL2017,N,178,3.045099
12,057_KAN_langevents_02_PL2017,S,178,2.2603619999999998
12,057_KAN_langevents_02_PL2017,W,178,4.564767
12,057_KAN_langevents_02_PL2017,N,178,2.216863
12,059_KAN_langevents_04_PL2017,S,178,1.3213469999999998
12,059_KAN_langevents_04_PL2017,W,178,1.2652079999999999
12,059_KAN_langevents_04_PL2017,N,178,1.1136709999999999
12,056_KAN_langevents_05_PL2017,S,178,0.09765700000000001
12,056_KAN_langevents_05_PL2017,W,178,0.321856
12,056_KAN_langevents_05_PL2017,N,178,0.298419
12,067_KAN_langevents_06_PL2017,S,178,0.590202
12,067_KAN_langevents_06_PL2017,W,178,-0.6290520000000001
12,067_KAN_langevents_06_PL2017,N,178,0.152026
12,068_KAN_langevents_07_PL2017,S,178,0.399727
12,068_KAN_langevents_07_PL2017,W,178,0.850497
12,068_KAN_langevents_07_PL2017,N,178,1.185768
12,019_KAN_langevents_08_PL2017,S,178,0.215873
12,019_KAN_langevents_08_PL2017,W,178,0.24451199999999998
12,019_KAN_langevents_08_PL2017,N,178,1.300775
12,070_KAN_langevents_11_PL2017,S,178,1.335394
12,070_KAN_langevents_11_PL2017,W,178,1.409318
12,070_KAN_langevents_11_PL2017,N,178,1.770098
12,087_KAN_langevents_12_PL2017,S,178,0.227491
12,087_KAN_langevents_12_PL2017,W,178,0.135113
12,087_KAN_langevents_12_PL2017,N,178,0.351113
12,078_KAN_langevents_13_PL2017,S,178,0.063113
12,078_KAN_langevents_13_PL2017,W,178,0.157434
12,078_KAN_langevents_13_PL2017,N,178,0.044205
12,089_KAN_langevents_15_PL2017,S,178,0.26809099999999997
12,089_KAN_langevents_15_PL2017,W,178,0.304678
12,089_KAN_langevents_15_PL2017,N,178,0.5161560000000001
12,076_KAN_langevents_16_PL2017,S,178,1.5176459999999998
12,076_KAN_langevents_16_PL2017,W,178,1.6442029999999999
12,076_KAN_langevents_16_PL2017,N,178,2.327618
13,040_KAN_langevents_01_PL2017,S,116,0.774414
13,040_KAN_langevents_01_PL2017,W,116,1.012282
13,040_KAN_langevents_01_PL2017,N,116,1.0976920000000001
13,057_KAN_langevents_02_PL2017,S,116,2.683145
13,057_KAN_langevents_02_PL2017,W,116,4.585891
13,057_KAN_langevents_02_PL2017,N,116,2.1144819999999998
13,059_KAN_langevents_04_PL2017,S,116,0.560351
13,059_KAN_langevents_04_PL2017,W,116,0.637363
13,059_KAN_langevents_04_PL2017,N,116,0.440601
13,056_KAN_langevents_05_PL2017,S,116,0.02304
13,056_KAN_langevents_05_PL2017,W,116,0.047503
13,056_KAN_langevents_05_PL2017,N,116,0.322651
13,067_KAN_langevents_06_PL2017,S,116,-0.333491
13,067_KAN_langevents_06_PL2017,W,116,-0.971302
13,067_KAN_langevents_06_PL2017,N,116,0.045163999999999996
13,068_KAN_langevents_07_PL2017,S,116,0.272156
13,068_KAN_langevents_07_PL2017,W,116,0.452632
13,068_KAN_langevents_07_PL2017,N,116,0.259534
13,019_KAN_langevents_08_PL2017,S,116,-0.278453
13,019_KAN_langevents_08_PL2017,W,116,0.418818
13,019_KAN_langevents_08_PL2017,N,116,1.2812139999999999
13,070_KAN_langevents_11_PL2017,S,116,1.764046
13,070_KAN_langevents_11_PL2017,W,116,1.345604
13,070_KAN_langevents_11_PL2017,N,116,1.9321560000000002
13,087_KAN_langevents_12_PL2017,S,116,0.21774000000000002
13,087_KAN_langevents_12_PL2017,W,116,0.22224499999999997
13,087_KAN_langevents_12_PL2017,N,116,0.225189
13,078_KAN_langevents_13_PL2017,S,116,0.224708
13,078_KAN_langevents_13_PL2017,W,116,0.459405
13,078_KAN_langevents_13_PL2017,N,116,0.118274
13,089_KAN_langevents_15_PL2017,S,116,0.304898
13,089_KAN_langevents_15_PL2017,W,116,0.270783
13,089_KAN_langevents_15_PL2017,N,116,0.6407649999999999
13,076_KAN_langevents_16_PL2017,S,116,0.651142
13,076_KAN_langevents_16_PL2017,W,116,0.622063
