ROI,Subject,Effect, LocalizerSize,EffectSize
12,291_FED_20160803c_3T1_PL2017,Sem-photo,178,2.376608
12,291_FED_20160803c_3T1_PL2017,Perc-photo,178,3.160683
12,291_FED_20160803c_3T1_PL2017,Sem-sent,178,1.7443549999999999
12,291_FED_20160803c_3T1_PL2017,Perc-sent,178,2.763609
12,400_FED_20160520a_3T1_PL2017,Sem-photo,178,1.049892
12,400_FED_20160520a_3T1_PL2017,Perc-photo,178,0.682757
12,400_FED_20160520a_3T1_PL2017,Sem-sent,178,0.715005
12,400_FED_20160520a_3T1_PL2017,Perc-sent,178,0.39323
12,419_FED_20160805a_3T1_PL2017,Sem-photo,178,0.891009
12,419_FED_20160805a_3T1_PL2017,Perc-photo,178,1.225834
12,419_FED_20160805a_3T1_PL2017,Sem-sent,178,0.43168199999999995
12,419_FED_20160805a_3T1_PL2017,Perc-sent,178,1.62616
12,773_FED_20190605c_3T2_PL2017,Sem-photo,178,-0.49388699999999996
12,773_FED_20190605c_3T2_PL2017,Perc-photo,178,-0.330712
12,773_FED_20190605c_3T2_PL2017,Sem-sent,178,-0.728089
12,773_FED_20190605c_3T2_PL2017,Perc-sent,178,-0.289652
12,774_FED_20190605b_3T2_PL2017,Sem-photo,178,2.0794799999999998
12,774_FED_20190605b_3T2_PL2017,Perc-photo,178,2.307541
12,774_FED_20190605b_3T2_PL2017,Sem-sent,178,1.524483
12,774_FED_20190605b_3T2_PL2017,Perc-sent,178,1.55989
12,775_FED_20190611a_3T2_PL2017,Sem-photo,178,3.0497330000000002
12,775_FED_20190611a_3T2_PL2017,Perc-photo,178,2.573373
12,775_FED_20190611a_3T2_PL2017,Sem-sent,178,2.272482
12,775_FED_20190611a_3T2_PL2017,Perc-sent,178,2.227996
12,778_FED_20190614b_3T2_PL2017,Sem-photo,178,2.959582
12,778_FED_20190614b_3T2_PL2017,Perc-photo,178,1.452485
12,778_FED_20190614b_3T2_PL2017,Sem-sent,178,1.2839969999999998
12,778_FED_20190614b_3T2_PL2017,Perc-sent,178,0.19309500000000002
13,291_FED_20160803c_3T1_PL2017,Sem-photo,116,3.959688
13,291_FED_20160803c_3T1_PL2017,Perc-photo,116,3.4792669999999997
13,291_FED_20160803c_3T1_PL2017,Sem-sent,116,2.8632720000000003
13,291_FED_20160803c_3T1_PL2017,Perc-sent,116,2.871954
13,400_FED_20160520a_3T1_PL2017,Sem-photo,116,1.093063
13,400_FED_20160520a_3T1_PL2017,Perc-photo,116,0.785801
13,400_FED_20160520a_3T1_PL2017,Sem-sent,116,0.32648299999999997
13,400_FED_20160520a_3T1_PL2017,Perc-sent,116,0.011054999999999999
13,419_FED_20160805a_3T1_PL2017,Sem-photo,116,1.92934
13,419_FED_20160805a_3T1_PL2017,Perc-photo,116,1.559735
13,419_FED_20160805a_3T1_PL2017,Sem-sent,116,0.549916
13,419_FED_20160805a_3T1_PL2017,Perc-sent,116,1.1845620000000001
13,773_FED_20190605c_3T2_PL2017,Sem-photo,116,0.143648
13,773_FED_20190605c_3T2_PL2017,Perc-photo,116,-0.264324
13,773_FED_20190605c_3T2_PL2017,Sem-sent,116,0.046188
13,773_FED_20190605c_3T2_PL2017,Perc-sent,116,-0.383959
13,774_FED_20190605b_3T2_PL2017,Sem-photo,116,1.4313559999999999
13,774_FED_20190605b_3T2_PL2017,Perc-photo,116,1.286761
13,774_FED_20190605b_3T2_PL2017,Sem-sent,116,0.8950870000000001
13,774_FED_20190605b_3T2_PL2017,Perc-sent,116,1.038109
13,775_FED_20190611a_3T2_PL2017,Sem-photo,116,1.6919389999999999
13,775_FED_20190611a_3T2_PL2017,Perc-photo,116,1.263687
