ROI,Subject,Effect, LocalizerSize,EffectSize
12,249_FED_20160519a_3T1_PL2017,S,178,0.279301
12,249_FED_20160519a_3T1_PL2017,N,178,-0.309743
12,252_FED_20160907b_3T2_PL2017,S,178,1.22458
12,252_FED_20160907b_3T2_PL2017,N,178,0.876138
12,291_FED_20160803c_3T1_PL2017,S,178,-0.140742
12,291_FED_20160803c_3T1_PL2017,N,178,-0.403554
12,301_FED_20160908b_3T1_PL2017,S,178,0.41284499999999996
12,301_FED_20160908b_3T1_PL2017,N,178,0.164473
12,376_FED_20160519b_3T1_PL2017,S,178,0.534676
12,376_FED_20160519b_3T1_PL2017,N,178,0.22794
12,399_FED_20160519d_3T1_PL2017,S,178,-0.131176
12,399_FED_20160519d_3T1_PL2017,N,178,-0.286582
12,400_FED_20160520a_3T1_PL2017,S,178,1.670118
12,400_FED_20160520a_3T1_PL2017,N,178,1.190344
12,401_FED_20160520d_3T1_PL2017,S,178,0.791899
12,401_FED_20160520d_3T1_PL2017,N,178,0.548851
12,419_FED_20160805a_3T1_PL2017,S,178,0.7818149999999999
12,419_FED_20160805a_3T1_PL2017,N,178,1.021284
12,420_FED_20160805b_3T1_PL2017,S,178,0.40864
12,420_FED_20160805b_3T1_PL2017,N,178,0.470728
12,426_FED_20160908d_3T1_PL2017,S,178,3.0073
12,426_FED_20160908d_3T1_PL2017,N,178,0.443208
12,682_FED_20190426a_3T2_PL2017,S,178,0.5818949999999999
12,682_FED_20190426a_3T2_PL2017,N,178,0.354483
12,767_FED_20190418b_3T2_PL2017,S,178,0.631402
12,767_FED_20190418b_3T2_PL2017,N,178,0.745057
12,768_FED_20190517a_3T2_PL2017,S,178,2.401533
12,768_FED_20190517a_3T2_PL2017,N,178,2.989155
12,769_FED_20190522a_3T2_PL2017,S,178,1.7442950000000002
12,769_FED_20190522a_3T2_PL2017,N,178,1.299631
12,770_FED_20190523b_3T2_PL2017,S,178,-0.166933
12,770_FED_20190523b_3T2_PL2017,N,178,-0.013244
12,773_FED_20190605c_3T2_PL2017,S,178,-0.096562
12,773_FED_20190605c_3T2_PL2017,N,178,0.17111400000000002
12,774_FED_20190605b_3T2_PL2017,S,178,0.023233
12,774_FED_20190605b_3T2_PL2017,N,178,0.13916900000000001
12,775_FED_20190611a_3T2_PL2017,S,178,0.050873
12,775_FED_20190611a_3T2_PL2017,N,178,-0.625505
12,778_FED_20190614b_3T2_PL2017,S,178,0.397484
12,778_FED_20190614b_3T2_PL2017,N,178,0.791706
12,863_FED_20211124a_3T1_PL2017,S,178,1.096144
12,863_FED_20211124a_3T1_PL2017,N,178,1.217538
13,249_FED_20160519a_3T1_PL2017,S,116,-1.2003620000000002
13,249_FED_20160519a_3T1_PL2017,N,116,-1.4235229999999999
13,252_FED_20160907b_3T2_PL2017,S,116,1.088055
13,252_FED_20160907b_3T2_PL2017,N,116,0.7733439999999999
13,291_FED_20160803c_3T1_PL2017,S,116,1.080239
13,291_FED_20160803c_3T1_PL2017,N,116,0.141833
13,301_FED_20160908b_3T1_PL2017,S,116,0.580019
13,301_FED_20160908b_3T1_PL2017,N,116,0.67689
13,376_FED_20160519b_3T1_PL2017,S,116,0.741359
13,376_FED_20160519b_3T1_PL2017,N,116,0.150793
13,399_FED_20160519d_3T1_PL2017,S,116,-0.090439
13,399_FED_20160519d_3T1_PL2017,N,116,-0.29877600000000004
13,400_FED_20160520a_3T1_PL2017,S,116,2.156172
13,400_FED_20160520a_3T1_PL2017,N,116,1.4335870000000002
13,401_FED_20160520d_3T1_PL2017,S,116,0.056353
