ROI,Subject,Effect, LocalizerSize,EffectSize
12,249_FED_20160519a_3T1_PL2017,H,178,1.040109
12,249_FED_20160519a_3T1_PL2017,E,178,0.378671
12,252_FED_20160907b_3T2_PL2017,H,178,2.320519
12,252_FED_20160907b_3T2_PL2017,E,178,1.2069590000000001
12,291_FED_20160803c_3T1_PL2017,H,178,-0.199259
12,291_FED_20160803c_3T1_PL2017,E,178,-0.130241
12,301_FED_20160908b_3T1_PL2017,H,178,1.724506
12,301_FED_20160908b_3T1_PL2017,E,178,0.763278
12,376_FED_20160519b_3T1_PL2017,H,178,0.49218
12,376_FED_20160519b_3T1_PL2017,E,178,0.158668
12,399_FED_20160519d_3T1_PL2017,H,178,-0.33521100000000004
12,399_FED_20160519d_3T1_PL2017,E,178,-0.31711999999999996
12,400_FED_20160520a_3T1_PL2017,H,178,1.350602
12,400_FED_20160520a_3T1_PL2017,E,178,0.2513
12,401_FED_20160520d_3T1_PL2017,H,178,2.017303
12,401_FED_20160520d_3T1_PL2017,E,178,1.437686
12,419_FED_20160805a_3T1_PL2017,H,178,0.621308
12,419_FED_20160805a_3T1_PL2017,E,178,0.522895
12,420_FED_20160805b_3T1_PL2017,H,178,1.070414
12,420_FED_20160805b_3T1_PL2017,E,178,0.576763
12,426_FED_20160908d_3T1_PL2017,H,178,-0.146581
12,426_FED_20160908d_3T1_PL2017,E,178,-0.696569
12,682_FED_20190426a_3T2_PL2017,H,178,0.383151
12,682_FED_20190426a_3T2_PL2017,E,178,0.27533
12,767_FED_20190418b_3T2_PL2017,H,178,0.45430299999999996
12,767_FED_20190418b_3T2_PL2017,E,178,0.165687
12,769_FED_20190522a_3T2_PL2017,H,178,1.201131
12,769_FED_20190522a_3T2_PL2017,E,178,1.285876
12,770_FED_20190523b_3T2_PL2017,H,178,0.490361
12,770_FED_20190523b_3T2_PL2017,E,178,0.197338
12,773_FED_20190605c_3T2_PL2017,H,178,-0.030032999999999997
12,773_FED_20190605c_3T2_PL2017,E,178,0.078615
12,774_FED_20190605b_3T2_PL2017,H,178,2.865696
12,774_FED_20190605b_3T2_PL2017,E,178,1.640321
12,775_FED_20190611a_3T2_PL2017,H,178,1.756563
12,775_FED_20190611a_3T2_PL2017,E,178,1.323397
12,778_FED_20190614b_3T2_PL2017,H,178,1.771398
12,778_FED_20190614b_3T2_PL2017,E,178,1.243722
12,863_FED_20211124a_3T1_PL2017,H,178,2.493909
12,863_FED_20211124a_3T1_PL2017,E,178,1.769177
13,249_FED_20160519a_3T1_PL2017,H,116,0.24214899999999998
13,249_FED_20160519a_3T1_PL2017,E,116,-0.187046
13,252_FED_20160907b_3T2_PL2017,H,116,0.996609
13,252_FED_20160907b_3T2_PL2017,E,116,0.268251
13,291_FED_20160803c_3T1_PL2017,H,116,0.322017
13,291_FED_20160803c_3T1_PL2017,E,116,0.394683
13,301_FED_20160908b_3T1_PL2017,H,116,1.703268
13,301_FED_20160908b_3T1_PL2017,E,116,0.761687
13,376_FED_20160519b_3T1_PL2017,H,116,-0.927444
13,376_FED_20160519b_3T1_PL2017,E,116,-0.684405
13,399_FED_20160519d_3T1_PL2017,H,116,-0.43387
13,399_FED_20160519d_3T1_PL2017,E,116,-0.794215
13,400_FED_20160520a_3T1_PL2017,H,116,0.24550100000000002
13,400_FED_20160520a_3T1_PL2017,E,116,-0.747985
13,401_FED_20160520d_3T1_PL2017,H,116,0.45554300000000003
13,401_FED_20160520d_3T1_PL2017,E,116,1.078201
13,419_FED_20160805a_3T1_PL2017,H,116,0.999085
13,419_FED_20160805a_3T1_PL2017,E,116,0.844052
13,420_FED_20160805b_3T1_PL2017,H,116,0.78781
13,420_FED_20160805b_3T1_PL2017,E,116,0.475445
13,426_FED_20160908d_3T1_PL2017,H,116,-1.191383
13,426_FED_20160908d_3T1_PL2017,E,116,-1.212573
13,682_FED_20190426a_3T2_PL2017,H,116,-0.813868
13,682_FED_20190426a_3T2_PL2017,E,116,-0.73505
13,767_FED_20190418b_3T2_PL2017,H,116,0.187789
13,767_FED_20190418b_3T2_PL2017,E,116,-0.32392600000000005
13,769_FED_20190522a_3T2_PL2017,H,116,0.306128
13,769_FED_20190522a_3T2_PL2017,E,116,0.44473100000000004
13,770_FED_20190523b_3T2_PL2017,H,116,-0.6899689999999999
13,770_FED_20190523b_3T2_PL2017,E,116,-0.21326799999999999
13,773_FED_20190605c_3T2_PL2017,H,116,-0.038144
13,773_FED_20190605c_3T2_PL2017,E,116,0.019259000000000002
13,774_FED_20190605b_3T2_PL2017,H,116,0.9621299999999999
13,774_FED_20190605b_3T2_PL2017,E,116,0.773113
13,775_FED_20190611a_3T2_PL2017,H,116,-0.172464
