ROI,Subject,Effect, LocalizerSize,EffectSize
12,199_KAN_parametric_20_PL2017,S,178,0.070008
12,199_KAN_parametric_20_PL2017,N,178,0.452376
12,261_FED_20160523c_3T2_PL2017,S,178,1.3892229999999999
12,261_FED_20160523c_3T2_PL2017,N,178,1.733365
12,407_FED_20160804a_3T1_PL2017,S,178,1.263734
12,407_FED_20160804a_3T1_PL2017,N,178,0.424349
12,408_FED_20160711a2_3T1_PL2017,S,178,0.059635
12,408_FED_20160711a2_3T1_PL2017,N,178,0.004979
12,409_FED_20160622a_3T1_PL2017,S,178,-0.096958
12,409_FED_20160622a_3T1_PL2017,N,178,0.030787000000000002
12,410_FED_20160623b_3T2_PL2017,S,178,0.755771
12,410_FED_20160623b_3T2_PL2017,N,178,0.402091
12,730_FED_20190306a_3T2_PL2017,S,178,1.151894
12,730_FED_20190306a_3T2_PL2017,N,178,1.002401
12,776_FED_20190611b_3T2_PL2017,S,178,-0.50397
12,776_FED_20190611b_3T2_PL2017,N,178,-0.40725
12,291_FED_20160803c_3T1_PL2017,S,178,0.229156
12,291_FED_20160803c_3T1_PL2017,N,178,0.203836
12,400_FED_20160520a_3T1_PL2017,S,178,2.5681279999999997
12,400_FED_20160520a_3T1_PL2017,N,178,2.4577080000000002
12,419_FED_20160805a_3T1_PL2017,S,178,0.566102
12,419_FED_20160805a_3T1_PL2017,N,178,0.840676
12,773_FED_20190605c_3T2_PL2017,S,178,1.734358
12,773_FED_20190605c_3T2_PL2017,N,178,0.855225
12,774_FED_20190605b_3T2_PL2017,S,178,2.933041
12,774_FED_20190605b_3T2_PL2017,N,178,1.070584
12,775_FED_20190611a_3T2_PL2017,S,178,-0.261819
12,775_FED_20190611a_3T2_PL2017,N,178,-0.495644
12,778_FED_20190614b_3T2_PL2017,S,178,0.629096
12,778_FED_20190614b_3T2_PL2017,N,178,1.140665
13,199_KAN_parametric_20_PL2017,S,116,0.44976000000000005
13,199_KAN_parametric_20_PL2017,N,116,0.565647
13,261_FED_20160523c_3T2_PL2017,S,116,0.645876
13,261_FED_20160523c_3T2_PL2017,N,116,0.549164
13,407_FED_20160804a_3T1_PL2017,S,116,0.6699970000000001
13,407_FED_20160804a_3T1_PL2017,N,116,0.06982000000000001
13,408_FED_20160711a2_3T1_PL2017,S,116,-0.428514
13,408_FED_20160711a2_3T1_PL2017,N,116,-0.140184
13,409_FED_20160622a_3T1_PL2017,S,116,0.234159
13,409_FED_20160622a_3T1_PL2017,N,116,0.42610299999999995
13,410_FED_20160623b_3T2_PL2017,S,116,0.473092
13,410_FED_20160623b_3T2_PL2017,N,116,0.24614
13,730_FED_20190306a_3T2_PL2017,S,116,1.025435
13,730_FED_20190306a_3T2_PL2017,N,116,1.6785
13,776_FED_20190611b_3T2_PL2017,S,116,0.784112
13,776_FED_20190611b_3T2_PL2017,N,116,0.282237
13,291_FED_20160803c_3T1_PL2017,S,116,1.3014629999999998
