ROI,Subject,Effect, LocalizerSize,EffectSize
12,199_KAN_parametric_20_PL2017,H,178,0.997915
12,199_KAN_parametric_20_PL2017,E,178,0.22790900000000003
12,261_FED_20160523c_3T2_PL2017,H,178,2.489221
12,261_FED_20160523c_3T2_PL2017,E,178,1.962437
12,407_FED_20160804a_3T1_PL2017,H,178,0.6953090000000001
12,407_FED_20160804a_3T1_PL2017,E,178,0.41528100000000007
12,408_FED_20160711a2_3T1_PL2017,H,178,-0.450358
12,408_FED_20160711a2_3T1_PL2017,E,178,-0.420548
12,409_FED_20160622a_3T1_PL2017,H,178,0.491649
12,409_FED_20160622a_3T1_PL2017,E,178,0.091495
12,410_FED_20160623b_3T2_PL2017,H,178,1.4320709999999999
12,410_FED_20160623b_3T2_PL2017,E,178,0.677261
12,730_FED_20190306a_3T2_PL2017,H,178,0.429141
12,730_FED_20190306a_3T2_PL2017,E,178,-0.155804
12,776_FED_20190611b_3T2_PL2017,H,178,1.874915
12,776_FED_20190611b_3T2_PL2017,E,178,0.9740790000000001
12,291_FED_20160803c_3T1_PL2017,H,178,0.38929400000000003
12,291_FED_20160803c_3T1_PL2017,E,178,0.411076
12,400_FED_20160520a_3T1_PL2017,H,178,3.021175
12,400_FED_20160520a_3T1_PL2017,E,178,1.2931629999999998
12,419_FED_20160805a_3T1_PL2017,H,178,-0.07875800000000001
12,419_FED_20160805a_3T1_PL2017,E,178,-0.31182600000000005
12,773_FED_20190605c_3T2_PL2017,H,178,0.42835100000000004
12,773_FED_20190605c_3T2_PL2017,E,178,0.366448
12,774_FED_20190605b_3T2_PL2017,H,178,1.7806680000000001
12,774_FED_20190605b_3T2_PL2017,E,178,0.555999
12,775_FED_20190611a_3T2_PL2017,H,178,0.287429
12,775_FED_20190611a_3T2_PL2017,E,178,0.211454
12,778_FED_20190614b_3T2_PL2017,H,178,2.456261
12,778_FED_20190614b_3T2_PL2017,E,178,1.8117400000000001
13,199_KAN_parametric_20_PL2017,H,116,1.203085
13,199_KAN_parametric_20_PL2017,E,116,0.6087319999999999
13,261_FED_20160523c_3T2_PL2017,H,116,1.92556
13,261_FED_20160523c_3T2_PL2017,E,116,1.3490719999999998
13,407_FED_20160804a_3T1_PL2017,H,116,0.060493
13,407_FED_20160804a_3T1_PL2017,E,116,-0.040092
13,408_FED_20160711a2_3T1_PL2017,H,116,-0.418156
13,408_FED_20160711a2_3T1_PL2017,E,116,-0.43017799999999995
13,409_FED_20160622a_3T1_PL2017,H,116,0.704145
13,409_FED_20160622a_3T1_PL2017,E,116,0.586082
13,410_FED_20160623b_3T2_PL2017,H,116,1.68914
13,410_FED_20160623b_3T2_PL2017,E,116,0.676752
13,730_FED_20190306a_3T2_PL2017,H,116,2.192174
13,730_FED_20190306a_3T2_PL2017,E,116,1.225533
13,776_FED_20190611b_3T2_PL2017,H,116,-0.6975640000000001
13,776_FED_20190611b_3T2_PL2017,E,116,-0.898965
13,291_FED_20160803c_3T1_PL2017,H,116,-0.109798
13,291_FED_20160803c_3T1_PL2017,E,116,0.125924
13,400_FED_20160520a_3T1_PL2017,H,116,-0.41664799999999996
13,400_FED_20160520a_3T1_PL2017,E,116,-0.650696
13,419_FED_20160805a_3T1_PL2017,H,116,0.16156700000000002
13,419_FED_20160805a_3T1_PL2017,E,116,-0.13196300000000002
13,773_FED_20190605c_3T2_PL2017,H,116,-0.663931
13,773_FED_20190605c_3T2_PL2017,E,116,-0.589689
13,774_FED_20190605b_3T2_PL2017,H,116,2.338045
13,774_FED_20190605b_3T2_PL2017,E,116,0.518216
13,775_FED_20190611a_3T2_PL2017,H,116,-0.142982
13,775_FED_20190611a_3T2_PL2017,E,116,-0.07182100000000001
13,778_FED_20190614b_3T2_PL2017,H,116,-0.49156099999999997
13,778_FED_20190614b_3T2_PL2017,E,116,-0.541462
14,199_KAN_parametric_20_PL2017,H,46,1.7066400000000002
14,199_KAN_parametric_20_PL2017,E,46,0.562401
14,261_FED_20160523c_3T2_PL2017,H,46,-0.124678
14,261_FED_20160523c_3T2_PL2017,E,46,-0.479063
14,407_FED_20160804a_3T1_PL2017,H,46,-1.190345
14,407_FED_20160804a_3T1_PL2017,E,46,-1.07865
14,408_FED_20160711a2_3T1_PL2017,H,46,-0.101639
14,408_FED_20160711a2_3T1_PL2017,E,46,-0.175218
14,409_FED_20160622a_3T1_PL2017,H,46,0.355699
14,409_FED_20160622a_3T1_PL2017,E,46,0.01704
14,410_FED_20160623b_3T2_PL2017,H,46,1.169694
14,410_FED_20160623b_3T2_PL2017,E,46,0.517675
14,730_FED_20190306a_3T2_PL2017,H,46,2.6506689999999997
14,730_FED_20190306a_3T2_PL2017,E,46,0.786288
14,776_FED_20190611b_3T2_PL2017,H,46,0.118986
14,776_FED_20190611b_3T2_PL2017,E,46,-0.717241
14,291_FED_20160803c_3T1_PL2017,H,46,0.364399
14,291_FED_20160803c_3T1_PL2017,E,46,0.43062700000000004
14,400_FED_20160520a_3T1_PL2017,H,46,1.387348
14,400_FED_20160520a_3T1_PL2017,E,46,0.386034
14,419_FED_20160805a_3T1_PL2017,H,46,-0.370225
14,419_FED_20160805a_3T1_PL2017,E,46,-0.007959
14,773_FED_20190605c_3T2_PL2017,H,46,-0.288786
14,773_FED_20190605c_3T2_PL2017,E,46,-0.325923
14,774_FED_20190605b_3T2_PL2017,H,46,0.120735
14,774_FED_20190605b_3T2_PL2017,E,46,-0.786284
14,775_FED_20190611a_3T2_PL2017,H,46,-0.178897
14,775_FED_20190611a_3T2_PL2017,E,46,-0.24790399999999999
14,778_FED_20190614b_3T2_PL2017,H,46,-0.799501
14,778_FED_20190614b_3T2_PL2017,E,46,-0.5679960000000001
15,199_KAN_parametric_20_PL2017,H,107,1.389202
15,199_KAN_parametric_20_PL2017,E,107,0.939047
15,261_FED_20160523c_3T2_PL2017,H,107,1.4094010000000001
15,261_FED_20160523c_3T2_PL2017,E,107,1.304117
15,407_FED_20160804a_3T1_PL2017,H,107,0.741667
15,407_FED_20160804a_3T1_PL2017,E,107,0.659076
15,408_FED_20160711a2_3T1_PL2017,H,107,-0.017047
15,408_FED_20160711a2_3T1_PL2017,E,107,0.044889
15,409_FED_20160622a_3T1_PL2017,H,107,0.881633
15,409_FED_20160622a_3T1_PL2017,E,107,0.852959
15,410_FED_20160623b_3T2_PL2017,H,107,1.629133
15,410_FED_20160623b_3T2_PL2017,E,107,1.101538
15,730_FED_20190306a_3T2_PL2017,H,107,1.62414
15,730_FED_20190306a_3T2_PL2017,E,107,1.05477
15,776_FED_20190611b_3T2_PL2017,H,107,1.23275
15,776_FED_20190611b_3T2_PL2017,E,107,0.6932729999999999
15,291_FED_20160803c_3T1_PL2017,H,107,1.553187
15,291_FED_20160803c_3T1_PL2017,E,107,1.136517
15,400_FED_20160520a_3T1_PL2017,H,107,0.8135060000000001
15,400_FED_20160520a_3T1_PL2017,E,107,0.668346
15,419_FED_20160805a_3T1_PL2017,H,107,0.6964779999999999
15,419_FED_20160805a_3T1_PL2017,E,107,0.844767
15,773_FED_20190605c_3T2_PL2017,H,107,0.5690069999999999
15,773_FED_20190605c_3T2_PL2017,E,107,0.677707
15,774_FED_20190605b_3T2_PL2017,H,107,1.46211
15,774_FED_20190605b_3T2_PL2017,E,107,0.995006
15,775_FED_20190611a_3T2_PL2017,H,107,2.455499
15,775_FED_20190611a_3T2_PL2017,E,107,2.380388
15,778_FED_20190614b_3T2_PL2017,H,107,2.1171740000000003
15,778_FED_20190614b_3T2_PL2017,E,107,1.803163
16,199_KAN_parametric_20_PL2017,H,98,0.508704
16,199_KAN_parametric_20_PL2017,E,98,0.109673
16,261_FED_20160523c_3T2_PL2017,H,98,2.9792509999999996
16,261_FED_20160523c_3T2_PL2017,E,98,1.946464
16,407_FED_20160804a_3T1_PL2017,H,98,1.299307
16,407_FED_20160804a_3T1_PL2017,E,98,1.0111860000000001
16,408_FED_20160711a2_3T1_PL2017,H,98,0.583359
16,408_FED_20160711a2_3T1_PL2017,E,98,0.597945
16,409_FED_20160622a_3T1_PL2017,H,98,3.589174
16,409_FED_20160622a_3T1_PL2017,E,98,2.914934
16,410_FED_20160623b_3T2_PL2017,H,98,3.049634
16,410_FED_20160623b_3T2_PL2017,E,98,1.973514
16,730_FED_20190306a_3T2_PL2017,H,98,0.81352
16,730_FED_20190306a_3T2_PL2017,E,98,0.46367200000000003
16,776_FED_20190611b_3T2_PL2017,H,98,0.417023
