ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,4.856758
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,3.532072
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,4.293432
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,3.294718
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,2.745313
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,0.329647
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,2.922043
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,-0.208275
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 178,2.058698
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 178,1.284184
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 178,2.119118
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 178,1.978348
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 178,1.177919
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 178,0.599947
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 178,0.783799
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 178,0.521280
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 178,2.233942
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 178,1.064734
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 178,1.844573
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 178,0.572120
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 178,4.448104
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 178,4.067525
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 178,4.276707
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 178,4.419015
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 178,3.974642
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 178,0.777497
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 178,4.596129
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 178,0.105937
2,291_FED_20160803c_3T1_PL2017,Sem-photo, 116,3.799646
2,291_FED_20160803c_3T1_PL2017,Perc-photo, 116,2.102827
2,291_FED_20160803c_3T1_PL2017,Sem-sent, 116,3.493267
2,291_FED_20160803c_3T1_PL2017,Perc-sent, 116,1.864706
2,400_FED_20160520a_3T1_PL2017,Sem-photo, 116,1.002834
2,400_FED_20160520a_3T1_PL2017,Perc-photo, 116,-0.623895
2,400_FED_20160520a_3T1_PL2017,Sem-sent, 116,1.222452
2,400_FED_20160520a_3T1_PL2017,Perc-sent, 116,-0.828997
2,419_FED_20160805a_3T1_PL2017,Sem-photo, 116,1.460161
2,419_FED_20160805a_3T1_PL2017,Perc-photo, 116,0.426366
2,419_FED_20160805a_3T1_PL2017,Sem-sent, 116,1.435594
2,419_FED_20160805a_3T1_PL2017,Perc-sent, 116,1.049020
2,773_FED_20190605c_3T2_PL2017,Sem-photo, 116,0.337404
2,773_FED_20190605c_3T2_PL2017,Perc-photo, 116,-0.655076
2,773_FED_20190605c_3T2_PL2017,Sem-sent, 116,0.415953
2,773_FED_20190605c_3T2_PL2017,Perc-sent, 116,-0.626999
2,774_FED_20190605b_3T2_PL2017,Sem-photo, 116,2.385443
2,774_FED_20190605b_3T2_PL2017,Perc-photo, 116,1.166635
2,774_FED_20190605b_3T2_PL2017,Sem-sent, 116,1.915614
2,774_FED_20190605b_3T2_PL2017,Perc-sent, 116,0.456006
2,775_FED_20190611a_3T2_PL2017,Sem-photo, 116,1.514996
2,775_FED_20190611a_3T2_PL2017,Perc-photo, 116,1.251573
2,775_FED_20190611a_3T2_PL2017,Sem-sent, 116,1.628361
2,775_FED_20190611a_3T2_PL2017,Perc-sent, 116,1.582969
2,778_FED_20190614b_3T2_PL2017,Sem-photo, 116,1.790388
2,778_FED_20190614b_3T2_PL2017,Perc-photo, 116,-1.947168
2,778_FED_20190614b_3T2_PL2017,Sem-sent, 116,2.905090
2,778_FED_20190614b_3T2_PL2017,Perc-sent, 116,-1.520783
3,291_FED_20160803c_3T1_PL2017,Sem-photo, 46,2.489947
3,291_FED_20160803c_3T1_PL2017,Perc-photo, 46,1.603890
3,291_FED_20160803c_3T1_PL2017,Sem-sent, 46,2.215824
3,291_FED_20160803c_3T1_PL2017,Perc-sent, 46,1.198715
