ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Sem-photo, 178,2.194300
1,199_FED_20160711c_3T1_PL2017,Perc-photo, 178,0.607670
1,199_FED_20160711c_3T1_PL2017,Sem-sent, 178,3.091889
1,199_FED_20160711c_3T1_PL2017,Perc-sent, 178,0.500917
1,261_FED_20160523c_3T2_PL2017,Sem-photo, 178,2.650483
1,261_FED_20160523c_3T2_PL2017,Perc-photo, 178,0.734191
1,261_FED_20160523c_3T2_PL2017,Sem-sent, 178,2.968712
1,261_FED_20160523c_3T2_PL2017,Perc-sent, 178,0.792936
1,407_FED_20160804a_3T1_PL2017,Sem-photo, 178,4.124343
1,407_FED_20160804a_3T1_PL2017,Perc-photo, 178,1.924602
1,407_FED_20160804a_3T1_PL2017,Sem-sent, 178,4.473701
1,407_FED_20160804a_3T1_PL2017,Perc-sent, 178,1.852779
1,408_FED_20160711a2_3T1_PL2017,Sem-photo, 178,2.188582
1,408_FED_20160711a2_3T1_PL2017,Perc-photo, 178,1.132763
1,408_FED_20160711a2_3T1_PL2017,Sem-sent, 178,1.641890
1,408_FED_20160711a2_3T1_PL2017,Perc-sent, 178,1.076285
1,409_FED_20160622a_3T1_PL2017,Sem-photo, 178,3.913017
1,409_FED_20160622a_3T1_PL2017,Perc-photo, 178,0.930654
1,409_FED_20160622a_3T1_PL2017,Sem-sent, 178,3.614063
1,409_FED_20160622a_3T1_PL2017,Perc-sent, 178,1.016994
1,410_FED_20160623b_3T2_PL2017,Sem-photo, 178,2.663815
1,410_FED_20160623b_3T2_PL2017,Perc-photo, 178,0.471100
1,410_FED_20160623b_3T2_PL2017,Sem-sent, 178,2.161407
1,410_FED_20160623b_3T2_PL2017,Perc-sent, 178,-0.606315
1,730_FED_20190306a_3T2_PL2017,Sem-photo, 178,4.422520
1,730_FED_20190306a_3T2_PL2017,Perc-photo, 178,1.995983
1,730_FED_20190306a_3T2_PL2017,Sem-sent, 178,4.210397
1,730_FED_20190306a_3T2_PL2017,Perc-sent, 178,0.784855
1,776_FED_20190611b_3T2_PL2017,Sem-photo, 178,0.648705
1,776_FED_20190611b_3T2_PL2017,Perc-photo, 178,2.199960
1,776_FED_20190611b_3T2_PL2017,Sem-sent, 178,0.532585
1,776_FED_20190611b_3T2_PL2017,Perc-sent, 178,1.931425
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,5.948704
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,2.719292
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,5.732984
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,2.257907
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,4.926313
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,0.636245
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,5.233555
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,-0.280773
