ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 178,1.782617
1,040_KAN_langevents_01_PL2017,Perc_photo, 178,1.141708
1,040_KAN_langevents_01_PL2017,Sem_sent, 178,1.908830
1,040_KAN_langevents_01_PL2017,Perc_sent, 178,0.758899
1,057_KAN_langevents_02_PL2017,Sem_photo, 178,2.504656
1,057_KAN_langevents_02_PL2017,Perc_photo, 178,0.310283
1,057_KAN_langevents_02_PL2017,Sem_sent, 178,2.901398
1,057_KAN_langevents_02_PL2017,Perc_sent, 178,0.504133
1,059_KAN_langevents_04_PL2017,Sem_photo, 178,2.352712
1,059_KAN_langevents_04_PL2017,Perc_photo, 178,0.059125
1,059_KAN_langevents_04_PL2017,Sem_sent, 178,2.113357
1,059_KAN_langevents_04_PL2017,Perc_sent, 178,0.465813
1,056_KAN_langevents_05_PL2017,Sem_photo, 178,2.487598
1,056_KAN_langevents_05_PL2017,Perc_photo, 178,0.646605
1,056_KAN_langevents_05_PL2017,Sem_sent, 178,3.036092
1,056_KAN_langevents_05_PL2017,Perc_sent, 178,0.794833
1,067_KAN_langevents_06_PL2017,Sem_photo, 178,1.568234
1,067_KAN_langevents_06_PL2017,Perc_photo, 178,0.606821
1,067_KAN_langevents_06_PL2017,Sem_sent, 178,1.942346
1,067_KAN_langevents_06_PL2017,Perc_sent, 178,0.186515
1,068_KAN_langevents_07_PL2017,Sem_photo, 178,1.879327
1,068_KAN_langevents_07_PL2017,Perc_photo, 178,2.029907
1,068_KAN_langevents_07_PL2017,Sem_sent, 178,2.804214
1,068_KAN_langevents_07_PL2017,Perc_sent, 178,1.487209
1,019_KAN_langevents_08_PL2017,Sem_photo, 178,-0.305452
1,019_KAN_langevents_08_PL2017,Perc_photo, 178,-0.078148
1,019_KAN_langevents_08_PL2017,Sem_sent, 178,-0.349322
1,019_KAN_langevents_08_PL2017,Perc_sent, 178,-0.293246
1,070_KAN_langevents_11_PL2017,Sem_photo, 178,2.783660
1,070_KAN_langevents_11_PL2017,Perc_photo, 178,0.151256
1,070_KAN_langevents_11_PL2017,Sem_sent, 178,3.056316
1,070_KAN_langevents_11_PL2017,Perc_sent, 178,-0.050074
1,087_KAN_langevents_12_PL2017,Sem_photo, 178,1.009834
1,087_KAN_langevents_12_PL2017,Perc_photo, 178,1.015268
