ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 178,0.599704
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 178,0.888023
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 178,1.101839
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 178,1.392325
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 178,3.611020
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 178,2.840667
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 178,5.649506
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 178,1.315533
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,0.838117
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,1.763101
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,1.709598
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,0.232416
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 178,3.922356
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 178,0.284628
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 178,3.861520
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 178,0.901175
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 178,3.640394
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 178,1.330811
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 178,3.254551
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 178,1.623268
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 178,0.715085
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 178,0.850330
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 178,1.398136
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 178,1.981460
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,0.055406
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,1.562650
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,0.523538
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,0.570567
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 178,1.641627
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 178,-0.561610
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 178,1.990198
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 178,-0.226035
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.423047
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,0.328676
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,-0.175011
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,-0.457928
1,420_FED_20160805b_3T1_PL2017,Pic_Sem, 178,1.218387
1,420_FED_20160805b_3T1_PL2017,Pic_Perc, 178,1.086580
1,420_FED_20160805b_3T1_PL2017,Sent_Sem, 178,1.067081
1,420_FED_20160805b_3T1_PL2017,Sent_Perc, 178,1.061773
1,426_FED_20160908d_3T1_PL2017,Pic_Sem, 178,-1.040306
1,426_FED_20160908d_3T1_PL2017,Pic_Perc, 178,-0.436086
1,426_FED_20160908d_3T1_PL2017,Sent_Sem, 178,-0.071446
1,426_FED_20160908d_3T1_PL2017,Sent_Perc, 178,-0.043132
1,682_FED_20190426a_3T2_PL2017,Pic_Sem, 178,4.280292
1,682_FED_20190426a_3T2_PL2017,Pic_Perc, 178,0.804146
1,682_FED_20190426a_3T2_PL2017,Sent_Sem, 178,3.545616
1,682_FED_20190426a_3T2_PL2017,Sent_Perc, 178,2.322322
1,767_FED_20190418b_3T2_PL2017,Pic_Sem, 178,3.629657
1,767_FED_20190418b_3T2_PL2017,Pic_Perc, 178,-0.362974
1,767_FED_20190418b_3T2_PL2017,Sent_Sem, 178,3.805492
1,767_FED_20190418b_3T2_PL2017,Sent_Perc, 178,0.170679
1,768_FED_20190517a_3T2_PL2017,Pic_Sem, 178,4.998826
1,768_FED_20190517a_3T2_PL2017,Pic_Perc, 178,1.348573
1,768_FED_20190517a_3T2_PL2017,Sent_Sem, 178,4.472129
1,768_FED_20190517a_3T2_PL2017,Sent_Perc, 178,1.528699
1,769_FED_20190522a_3T2_PL2017,Pic_Sem, 178,3.551654
1,769_FED_20190522a_3T2_PL2017,Pic_Perc, 178,-0.120354
1,769_FED_20190522a_3T2_PL2017,Sent_Sem, 178,4.704021
1,769_FED_20190522a_3T2_PL2017,Sent_Perc, 178,0.982320
1,770_FED_20190523b_3T2_PL2017,Pic_Sem, 178,-0.424854
1,770_FED_20190523b_3T2_PL2017,Pic_Perc, 178,-0.710498
1,770_FED_20190523b_3T2_PL2017,Sent_Sem, 178,-0.464350
1,770_FED_20190523b_3T2_PL2017,Sent_Perc, 178,0.033790
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,1.431825
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.868688
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,1.391921
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,1.829059
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,1.515311
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,1.451642
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,2.278937
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,1.310599
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,2.987954
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,3.354594
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 178,3.231235
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 178,2.891764
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 178,4.535933
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 178,1.267698
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 178,4.538080
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 178,2.044331
1,863_FED_20211124a_3T1_PL2017,Pic_Sem, 178,2.200496
1,863_FED_20211124a_3T1_PL2017,Pic_Perc, 178,0.500427
1,863_FED_20211124a_3T1_PL2017,Sent_Sem, 178,2.983073
1,863_FED_20211124a_3T1_PL2017,Sent_Perc, 178,0.537838
2,249_FED_20160519a_3T1_PL2017,Pic_Sem, 116,-0.307869
2,249_FED_20160519a_3T1_PL2017,Pic_Perc, 116,-0.174829
2,249_FED_20160519a_3T1_PL2017,Sent_Sem, 116,0.173125
2,249_FED_20160519a_3T1_PL2017,Sent_Perc, 116,0.518965
2,252_FED_20160907b_3T2_PL2017,Pic_Sem, 116,1.353504
2,252_FED_20160907b_3T2_PL2017,Pic_Perc, 116,1.444483
2,252_FED_20160907b_3T2_PL2017,Sent_Sem, 116,3.398449
2,252_FED_20160907b_3T2_PL2017,Sent_Perc, 116,0.594325
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 116,0.772876
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 116,1.841364
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 116,1.805398
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 116,0.240133
2,301_FED_20160908b_3T1_PL2017,Pic_Sem, 116,2.914537
2,301_FED_20160908b_3T1_PL2017,Pic_Perc, 116,-1.184354
2,301_FED_20160908b_3T1_PL2017,Sent_Sem, 116,2.761626
2,301_FED_20160908b_3T1_PL2017,Sent_Perc, 116,-0.510300
2,376_FED_20160519b_3T1_PL2017,Pic_Sem, 116,2.720440
2,376_FED_20160519b_3T1_PL2017,Pic_Perc, 116,0.984065
2,376_FED_20160519b_3T1_PL2017,Sent_Sem, 116,2.710430
2,376_FED_20160519b_3T1_PL2017,Sent_Perc, 116,0.871139
2,399_FED_20160519d_3T1_PL2017,Pic_Sem, 116,0.422529
2,399_FED_20160519d_3T1_PL2017,Pic_Perc, 116,0.213717
2,399_FED_20160519d_3T1_PL2017,Sent_Sem, 116,0.488056
2,399_FED_20160519d_3T1_PL2017,Sent_Perc, 116,1.083088
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 116,0.513603
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 116,0.270200
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 116,0.087100
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 116,0.605588
2,401_FED_20160520d_3T1_PL2017,Pic_Sem, 116,0.059876
2,401_FED_20160520d_3T1_PL2017,Pic_Perc, 116,-1.160405
2,401_FED_20160520d_3T1_PL2017,Sent_Sem, 116,0.949817
2,401_FED_20160520d_3T1_PL2017,Sent_Perc, 116,-0.570056
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 116,-0.272829
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 116,-0.434389
