ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,4.763149
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,3.446869
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,4.224869
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,3.206282
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,1.176723
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,-0.341091
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,0.752966
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,-0.215185
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 178,1.752026
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 178,1.229512
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 178,1.962256
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 178,1.840586
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 178,2.719719
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 178,2.487125
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 178,1.690943
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 178,1.924426
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 178,2.331970
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 178,1.317986
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 178,1.933520
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 178,0.824185
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 178,3.996336
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 178,3.724063
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 178,3.850921
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 178,3.962432
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 178,4.386074
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 178,0.970880
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 178,4.752454
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 178,0.241775
2,291_FED_20160803c_3T1_PL2017,Sem-photo, 116,3.885520
2,291_FED_20160803c_3T1_PL2017,Perc-photo, 116,2.096472
2,291_FED_20160803c_3T1_PL2017,Sem-sent, 116,3.554377
2,291_FED_20160803c_3T1_PL2017,Perc-sent, 116,1.887065
2,400_FED_20160520a_3T1_PL2017,Sem-photo, 116,1.269587
2,400_FED_20160520a_3T1_PL2017,Perc-photo, 116,-1.292302
2,400_FED_20160520a_3T1_PL2017,Sem-sent, 116,1.567966
2,400_FED_20160520a_3T1_PL2017,Perc-sent, 116,-1.323931
2,419_FED_20160805a_3T1_PL2017,Sem-photo, 116,1.172564
2,419_FED_20160805a_3T1_PL2017,Perc-photo, 116,0.333807
2,419_FED_20160805a_3T1_PL2017,Sem-sent, 116,1.309017
2,419_FED_20160805a_3T1_PL2017,Perc-sent, 116,0.885516
2,773_FED_20190605c_3T2_PL2017,Sem-photo, 116,0.425382
2,773_FED_20190605c_3T2_PL2017,Perc-photo, 116,-0.313212
2,773_FED_20190605c_3T2_PL2017,Sem-sent, 116,0.435148
2,773_FED_20190605c_3T2_PL2017,Perc-sent, 116,-0.316816
2,774_FED_20190605b_3T2_PL2017,Sem-photo, 116,2.427377
2,774_FED_20190605b_3T2_PL2017,Perc-photo, 116,1.064639
2,774_FED_20190605b_3T2_PL2017,Sem-sent, 116,1.722571
2,774_FED_20190605b_3T2_PL2017,Perc-sent, 116,0.110117
2,775_FED_20190611a_3T2_PL2017,Sem-photo, 116,1.150654
2,775_FED_20190611a_3T2_PL2017,Perc-photo, 116,0.902848
2,775_FED_20190611a_3T2_PL2017,Sem-sent, 116,1.508835
2,775_FED_20190611a_3T2_PL2017,Perc-sent, 116,1.571950
2,778_FED_20190614b_3T2_PL2017,Sem-photo, 116,1.894636
2,778_FED_20190614b_3T2_PL2017,Perc-photo, 116,-2.239297
2,778_FED_20190614b_3T2_PL2017,Sem-sent, 116,2.422539
2,778_FED_20190614b_3T2_PL2017,Perc-sent, 116,-1.741679
3,291_FED_20160803c_3T1_PL2017,Sem-photo, 46,2.500748
3,291_FED_20160803c_3T1_PL2017,Perc-photo, 46,1.573137
3,291_FED_20160803c_3T1_PL2017,Sem-sent, 46,2.220600
3,291_FED_20160803c_3T1_PL2017,Perc-sent, 46,1.176571
3,400_FED_20160520a_3T1_PL2017,Sem-photo, 46,-0.417555
3,400_FED_20160520a_3T1_PL2017,Perc-photo, 46,-0.351863
3,400_FED_20160520a_3T1_PL2017,Sem-sent, 46,-0.537805
3,400_FED_20160520a_3T1_PL2017,Perc-sent, 46,-0.304860
3,419_FED_20160805a_3T1_PL2017,Sem-photo, 46,0.381536
3,419_FED_20160805a_3T1_PL2017,Perc-photo, 46,-0.097122
3,419_FED_20160805a_3T1_PL2017,Sem-sent, 46,0.414995
3,419_FED_20160805a_3T1_PL2017,Perc-sent, 46,0.020670
3,773_FED_20190605c_3T2_PL2017,Sem-photo, 46,0.523364
3,773_FED_20190605c_3T2_PL2017,Perc-photo, 46,-0.428228
3,773_FED_20190605c_3T2_PL2017,Sem-sent, 46,-0.125073
3,773_FED_20190605c_3T2_PL2017,Perc-sent, 46,-0.547901
3,774_FED_20190605b_3T2_PL2017,Sem-photo, 46,1.652604
3,774_FED_20190605b_3T2_PL2017,Perc-photo, 46,-0.136042
3,774_FED_20190605b_3T2_PL2017,Sem-sent, 46,1.586559
3,774_FED_20190605b_3T2_PL2017,Perc-sent, 46,-0.320832
3,775_FED_20190611a_3T2_PL2017,Sem-photo, 46,-0.870507
3,775_FED_20190611a_3T2_PL2017,Perc-photo, 46,-1.197542
3,775_FED_20190611a_3T2_PL2017,Sem-sent, 46,-0.693167
3,775_FED_20190611a_3T2_PL2017,Perc-sent, 46,-0.789428
3,778_FED_20190614b_3T2_PL2017,Sem-photo, 46,2.169518
3,778_FED_20190614b_3T2_PL2017,Perc-photo, 46,-1.719756
3,778_FED_20190614b_3T2_PL2017,Sem-sent, 46,1.478559
3,778_FED_20190614b_3T2_PL2017,Perc-sent, 46,-1.067448
4,291_FED_20160803c_3T1_PL2017,Sem-photo, 107,4.859616
4,291_FED_20160803c_3T1_PL2017,Perc-photo, 107,2.962063
4,291_FED_20160803c_3T1_PL2017,Sem-sent, 107,4.299234
4,291_FED_20160803c_3T1_PL2017,Perc-sent, 107,2.738398
4,400_FED_20160520a_3T1_PL2017,Sem-photo, 107,1.603303
4,400_FED_20160520a_3T1_PL2017,Perc-photo, 107,0.710145
4,400_FED_20160520a_3T1_PL2017,Sem-sent, 107,0.848455
4,400_FED_20160520a_3T1_PL2017,Perc-sent, 107,0.198789
4,419_FED_20160805a_3T1_PL2017,Sem-photo, 107,1.710310
4,419_FED_20160805a_3T1_PL2017,Perc-photo, 107,1.384422
4,419_FED_20160805a_3T1_PL2017,Sem-sent, 107,1.949524
4,419_FED_20160805a_3T1_PL2017,Perc-sent, 107,1.708229
4,773_FED_20190605c_3T2_PL2017,Sem-photo, 107,2.402102
4,773_FED_20190605c_3T2_PL2017,Perc-photo, 107,2.115903
4,773_FED_20190605c_3T2_PL2017,Sem-sent, 107,0.821015
4,773_FED_20190605c_3T2_PL2017,Perc-sent, 107,1.258621
4,774_FED_20190605b_3T2_PL2017,Sem-photo, 107,2.749704
