ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 178,1.416655
1,249_FED_20160519a_3T1_PL2017,N, 178,0.556167
1,252_FED_20160907b_3T2_PL2017,S, 178,1.947937
1,252_FED_20160907b_3T2_PL2017,N, 178,2.223376
1,291_FED_20160803c_3T1_PL2017,S, 178,0.567812
1,291_FED_20160803c_3T1_PL2017,N, 178,0.247370
1,301_FED_20160908b_3T1_PL2017,S, 178,1.203583
1,301_FED_20160908b_3T1_PL2017,N, 178,1.189431
1,376_FED_20160519b_3T1_PL2017,S, 178,0.803050
1,376_FED_20160519b_3T1_PL2017,N, 178,0.678191
1,399_FED_20160519d_3T1_PL2017,S, 178,1.005621
1,399_FED_20160519d_3T1_PL2017,N, 178,0.749284
1,400_FED_20160520a_3T1_PL2017,S, 178,-0.905832
1,400_FED_20160520a_3T1_PL2017,N, 178,-0.168943
1,401_FED_20160520d_3T1_PL2017,S, 178,1.483357
1,401_FED_20160520d_3T1_PL2017,N, 178,1.315565
1,419_FED_20160805a_3T1_PL2017,S, 178,0.886765
1,419_FED_20160805a_3T1_PL2017,N, 178,1.259123
1,420_FED_20160805b_3T1_PL2017,S, 178,0.594614
1,420_FED_20160805b_3T1_PL2017,N, 178,0.178061
1,426_FED_20160908d_3T1_PL2017,S, 178,-0.153226
1,426_FED_20160908d_3T1_PL2017,N, 178,0.649493
1,682_FED_20190426a_3T2_PL2017,S, 178,1.196020
1,682_FED_20190426a_3T2_PL2017,N, 178,0.697545
1,767_FED_20190418b_3T2_PL2017,S, 178,2.516950
1,767_FED_20190418b_3T2_PL2017,N, 178,1.335554
1,768_FED_20190517a_3T2_PL2017,S, 178,1.006785
1,768_FED_20190517a_3T2_PL2017,N, 178,0.718685
1,769_FED_20190522a_3T2_PL2017,S, 178,2.498224
1,769_FED_20190522a_3T2_PL2017,N, 178,0.955541
1,770_FED_20190523b_3T2_PL2017,S, 178,0.054557
1,770_FED_20190523b_3T2_PL2017,N, 178,0.034646
1,773_FED_20190605c_3T2_PL2017,S, 178,0.256248
1,773_FED_20190605c_3T2_PL2017,N, 178,0.803454
1,774_FED_20190605b_3T2_PL2017,S, 178,-0.305532
1,774_FED_20190605b_3T2_PL2017,N, 178,-0.046115
1,775_FED_20190611a_3T2_PL2017,S, 178,1.369062
1,775_FED_20190611a_3T2_PL2017,N, 178,0.312820
1,778_FED_20190614b_3T2_PL2017,S, 178,2.616196
1,778_FED_20190614b_3T2_PL2017,N, 178,1.449555
1,863_FED_20211124a_3T1_PL2017,S, 178,1.412253
1,863_FED_20211124a_3T1_PL2017,N, 178,0.880374
2,249_FED_20160519a_3T1_PL2017,S, 116,0.721883
2,249_FED_20160519a_3T1_PL2017,N, 116,0.215998
2,252_FED_20160907b_3T2_PL2017,S, 116,1.470688
2,252_FED_20160907b_3T2_PL2017,N, 116,2.089551
2,291_FED_20160803c_3T1_PL2017,S, 116,1.116564
2,291_FED_20160803c_3T1_PL2017,N, 116,0.373997
2,301_FED_20160908b_3T1_PL2017,S, 116,1.227498
2,301_FED_20160908b_3T1_PL2017,N, 116,0.244485
2,376_FED_20160519b_3T1_PL2017,S, 116,0.799826
2,376_FED_20160519b_3T1_PL2017,N, 116,0.216949
2,399_FED_20160519d_3T1_PL2017,S, 116,1.651356
2,399_FED_20160519d_3T1_PL2017,N, 116,1.425228
2,400_FED_20160520a_3T1_PL2017,S, 116,-1.157618
2,400_FED_20160520a_3T1_PL2017,N, 116,-0.370356
2,401_FED_20160520d_3T1_PL2017,S, 116,0.951796
2,401_FED_20160520d_3T1_PL2017,N, 116,0.531346
2,419_FED_20160805a_3T1_PL2017,S, 116,0.325092
2,419_FED_20160805a_3T1_PL2017,N, 116,0.556853
2,420_FED_20160805b_3T1_PL2017,S, 116,0.450272
2,420_FED_20160805b_3T1_PL2017,N, 116,0.085486
2,426_FED_20160908d_3T1_PL2017,S, 116,-1.620952
2,426_FED_20160908d_3T1_PL2017,N, 116,0.815666
2,682_FED_20190426a_3T2_PL2017,S, 116,1.465849
2,682_FED_20190426a_3T2_PL2017,N, 116,0.442082
2,767_FED_20190418b_3T2_PL2017,S, 116,1.716446
2,767_FED_20190418b_3T2_PL2017,N, 116,0.712016
2,768_FED_20190517a_3T2_PL2017,S, 116,0.834435
2,768_FED_20190517a_3T2_PL2017,N, 116,0.491052
2,769_FED_20190522a_3T2_PL2017,S, 116,3.604770
2,769_FED_20190522a_3T2_PL2017,N, 116,1.480455
2,770_FED_20190523b_3T2_PL2017,S, 116,-0.628379
2,770_FED_20190523b_3T2_PL2017,N, 116,-0.450680
2,773_FED_20190605c_3T2_PL2017,S, 116,-0.303433
2,773_FED_20190605c_3T2_PL2017,N, 116,0.116776
2,774_FED_20190605b_3T2_PL2017,S, 116,-0.773342
2,774_FED_20190605b_3T2_PL2017,N, 116,-0.159884
2,775_FED_20190611a_3T2_PL2017,S, 116,0.673342
2,775_FED_20190611a_3T2_PL2017,N, 116,-0.117314
2,778_FED_20190614b_3T2_PL2017,S, 116,2.815601
2,778_FED_20190614b_3T2_PL2017,N, 116,0.511482
2,863_FED_20211124a_3T1_PL2017,S, 116,-0.071144
2,863_FED_20211124a_3T1_PL2017,N, 116,-0.187898
3,249_FED_20160519a_3T1_PL2017,S, 46,0.805698
3,249_FED_20160519a_3T1_PL2017,N, 46,0.835592
3,252_FED_20160907b_3T2_PL2017,S, 46,3.061547
3,252_FED_20160907b_3T2_PL2017,N, 46,2.127073
3,291_FED_20160803c_3T1_PL2017,S, 46,0.064336
3,291_FED_20160803c_3T1_PL2017,N, 46,0.170998
3,301_FED_20160908b_3T1_PL2017,S, 46,0.308062
3,301_FED_20160908b_3T1_PL2017,N, 46,1.443451
3,376_FED_20160519b_3T1_PL2017,S, 46,0.033500
3,376_FED_20160519b_3T1_PL2017,N, 46,0.218094
3,399_FED_20160519d_3T1_PL2017,S, 46,-0.245306
3,399_FED_20160519d_3T1_PL2017,N, 46,0.401167
3,400_FED_20160520a_3T1_PL2017,S, 46,-0.798030
3,400_FED_20160520a_3T1_PL2017,N, 46,-0.287125
3,401_FED_20160520d_3T1_PL2017,S, 46,0.909779
3,401_FED_20160520d_3T1_PL2017,N, 46,1.054603
3,419_FED_20160805a_3T1_PL2017,S, 46,0.268975
3,419_FED_20160805a_3T1_PL2017,N, 46,0.521763
3,420_FED_20160805b_3T1_PL2017,S, 46,-0.214337
3,420_FED_20160805b_3T1_PL2017,N, 46,-0.214839
3,426_FED_20160908d_3T1_PL2017,S, 46,-1.505778
3,426_FED_20160908d_3T1_PL2017,N, 46,-0.363278
3,682_FED_20190426a_3T2_PL2017,S, 46,-2.912416
3,682_FED_20190426a_3T2_PL2017,N, 46,0.063836
3,767_FED_20190418b_3T2_PL2017,S, 46,0.284009
3,767_FED_20190418b_3T2_PL2017,N, 46,0.049792
3,768_FED_20190517a_3T2_PL2017,S, 46,-0.162692
3,768_FED_20190517a_3T2_PL2017,N, 46,-0.052464
3,769_FED_20190522a_3T2_PL2017,S, 46,0.048509
3,769_FED_20190522a_3T2_PL2017,N, 46,0.239233
3,770_FED_20190523b_3T2_PL2017,S, 46,-0.720554
3,770_FED_20190523b_3T2_PL2017,N, 46,-0.350580
3,773_FED_20190605c_3T2_PL2017,S, 46,-0.193158
3,773_FED_20190605c_3T2_PL2017,N, 46,-0.009646
3,774_FED_20190605b_3T2_PL2017,S, 46,-0.747326
3,774_FED_20190605b_3T2_PL2017,N, 46,-0.334458
3,775_FED_20190611a_3T2_PL2017,S, 46,0.288553
3,775_FED_20190611a_3T2_PL2017,N, 46,0.378060
3,778_FED_20190614b_3T2_PL2017,S, 46,-1.099341
3,778_FED_20190614b_3T2_PL2017,N, 46,-1.256159
3,863_FED_20211124a_3T1_PL2017,S, 46,-0.296282
3,863_FED_20211124a_3T1_PL2017,N, 46,-0.020196
4,249_FED_20160519a_3T1_PL2017,S, 107,2.317898
4,249_FED_20160519a_3T1_PL2017,N, 107,1.601928
4,252_FED_20160907b_3T2_PL2017,S, 107,1.073300
4,252_FED_20160907b_3T2_PL2017,N, 107,1.318529
4,291_FED_20160803c_3T1_PL2017,S, 107,1.743255
4,291_FED_20160803c_3T1_PL2017,N, 107,1.985909
4,301_FED_20160908b_3T1_PL2017,S, 107,2.301419
4,301_FED_20160908b_3T1_PL2017,N, 107,2.951713
4,376_FED_20160519b_3T1_PL2017,S, 107,1.620888
4,376_FED_20160519b_3T1_PL2017,N, 107,1.713646
4,399_FED_20160519d_3T1_PL2017,S, 107,1.389988
4,399_FED_20160519d_3T1_PL2017,N, 107,1.396741
4,400_FED_20160520a_3T1_PL2017,S, 107,-0.123408
4,400_FED_20160520a_3T1_PL2017,N, 107,0.329441
4,401_FED_20160520d_3T1_PL2017,S, 107,1.316220
4,401_FED_20160520d_3T1_PL2017,N, 107,1.315328
4,419_FED_20160805a_3T1_PL2017,S, 107,1.977883
4,419_FED_20160805a_3T1_PL2017,N, 107,2.280864
4,420_FED_20160805b_3T1_PL2017,S, 107,0.630030
4,420_FED_20160805b_3T1_PL2017,N, 107,1.009394
4,426_FED_20160908d_3T1_PL2017,S, 107,-0.462183
4,426_FED_20160908d_3T1_PL2017,N, 107,-0.130723
4,682_FED_20190426a_3T2_PL2017,S, 107,4.456008
4,682_FED_20190426a_3T2_PL2017,N, 107,4.164735
4,767_FED_20190418b_3T2_PL2017,S, 107,2.371180
4,767_FED_20190418b_3T2_PL2017,N, 107,2.877808
4,768_FED_20190517a_3T2_PL2017,S, 107,2.825688
4,768_FED_20190517a_3T2_PL2017,N, 107,2.919507
4,769_FED_20190522a_3T2_PL2017,S, 107,1.744438
4,769_FED_20190522a_3T2_PL2017,N, 107,1.584159
4,770_FED_20190523b_3T2_PL2017,S, 107,1.205845
4,770_FED_20190523b_3T2_PL2017,N, 107,1.535451
4,773_FED_20190605c_3T2_PL2017,S, 107,0.971164
4,773_FED_20190605c_3T2_PL2017,N, 107,1.230048
4,774_FED_20190605b_3T2_PL2017,S, 107,0.107580
4,774_FED_20190605b_3T2_PL2017,N, 107,0.167672
4,775_FED_20190611a_3T2_PL2017,S, 107,1.297185
4,775_FED_20190611a_3T2_PL2017,N, 107,0.998604
4,778_FED_20190614b_3T2_PL2017,S, 107,1.989465
4,778_FED_20190614b_3T2_PL2017,N, 107,2.366515
4,863_FED_20211124a_3T1_PL2017,S, 107,1.492856
4,863_FED_20211124a_3T1_PL2017,N, 107,1.594919
5,249_FED_20160519a_3T1_PL2017,S, 98,0.674326
5,249_FED_20160519a_3T1_PL2017,N, 98,-0.604676
5,252_FED_20160907b_3T2_PL2017,S, 98,0.903457
5,252_FED_20160907b_3T2_PL2017,N, 98,0.103647
5,291_FED_20160803c_3T1_PL2017,S, 98,0.875028
5,291_FED_20160803c_3T1_PL2017,N, 98,0.319268
5,301_FED_20160908b_3T1_PL2017,S, 98,0.634822
5,301_FED_20160908b_3T1_PL2017,N, 98,0.863464
5,376_FED_20160519b_3T1_PL2017,S, 98,0.517960
5,376_FED_20160519b_3T1_PL2017,N, 98,0.235732
5,399_FED_20160519d_3T1_PL2017,S, 98,0.843017
5,399_FED_20160519d_3T1_PL2017,N, 98,0.989446
