ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,-0.218245
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,1.162077
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,0.788693
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,0.025178
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,0.460130
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.828820
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,0.648466
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,0.443971
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.830743
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,0.835935
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,-0.084005
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,-0.408811
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,0.187011
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.931394
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,0.541687
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,1.524028
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,4.434049
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,3.294599
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,4.461275
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,4.237756
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,3.113871
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,2.896465
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 178,3.581165
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 178,2.634685
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 178,3.349929
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 178,0.818849
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 178,2.078591
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 178,0.621142
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 116,-1.067111
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 116,0.955160
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 116,1.235242
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 116,0.062125
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 116,1.102225
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 116,0.393015
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 116,-0.118017
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 116,0.675899
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 116,0.570445
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 116,-0.168542
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 116,-0.254942
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 116,-1.566021
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 116,-0.484177
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 116,2.312648
