ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Sem-photo, 178,2.247688
1,199_FED_20160711c_3T1_PL2017,Perc-photo, 178,0.847795
1,199_FED_20160711c_3T1_PL2017,Sem-sent, 178,3.229894
1,199_FED_20160711c_3T1_PL2017,Perc-sent, 178,0.771927
1,261_FED_20160523c_3T2_PL2017,Sem-photo, 178,2.618529
1,261_FED_20160523c_3T2_PL2017,Perc-photo, 178,0.903107
1,261_FED_20160523c_3T2_PL2017,Sem-sent, 178,3.096963
1,261_FED_20160523c_3T2_PL2017,Perc-sent, 178,0.917595
1,407_FED_20160804a_3T1_PL2017,Sem-photo, 178,3.644657
1,407_FED_20160804a_3T1_PL2017,Perc-photo, 178,1.546890
1,407_FED_20160804a_3T1_PL2017,Sem-sent, 178,3.616364
1,407_FED_20160804a_3T1_PL2017,Perc-sent, 178,1.467018
1,408_FED_20160711a2_3T1_PL2017,Sem-photo, 178,2.151187
1,408_FED_20160711a2_3T1_PL2017,Perc-photo, 178,0.908568
1,408_FED_20160711a2_3T1_PL2017,Sem-sent, 178,1.623685
1,408_FED_20160711a2_3T1_PL2017,Perc-sent, 178,1.266266
1,409_FED_20160622a_3T1_PL2017,Sem-photo, 178,4.151746
1,409_FED_20160622a_3T1_PL2017,Perc-photo, 178,0.866932
1,409_FED_20160622a_3T1_PL2017,Sem-sent, 178,3.622359
1,409_FED_20160622a_3T1_PL2017,Perc-sent, 178,0.980651
1,410_FED_20160623b_3T2_PL2017,Sem-photo, 178,2.457664
1,410_FED_20160623b_3T2_PL2017,Perc-photo, 178,0.509853
1,410_FED_20160623b_3T2_PL2017,Sem-sent, 178,1.930043
1,410_FED_20160623b_3T2_PL2017,Perc-sent, 178,-0.563007
1,730_FED_20190306a_3T2_PL2017,Sem-photo, 178,4.370070
1,730_FED_20190306a_3T2_PL2017,Perc-photo, 178,1.973181
1,730_FED_20190306a_3T2_PL2017,Sem-sent, 178,4.170088
1,730_FED_20190306a_3T2_PL2017,Perc-sent, 178,0.780842
1,776_FED_20190611b_3T2_PL2017,Sem-photo, 178,0.668150
1,776_FED_20190611b_3T2_PL2017,Perc-photo, 178,2.335656
1,776_FED_20190611b_3T2_PL2017,Sem-sent, 178,0.672200
1,776_FED_20190611b_3T2_PL2017,Perc-sent, 178,2.025650
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 178,6.392816
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 178,3.093482
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 178,6.038262
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 178,2.420790
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 178,4.748697
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 178,0.559033
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 178,4.992535
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 178,-0.302913
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 178,2.009994
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 178,1.278843
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 178,2.708856
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 178,1.334555
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 178,2.466262
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 178,0.365223
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 178,2.355691
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 178,0.211992
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 178,3.849058
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 178,2.071659
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 178,3.741981
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 178,1.179771
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 178,2.284226
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 178,2.583222
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 178,2.653072
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 178,2.446111
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 178,5.961511
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 178,-0.897250
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 178,4.989199
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 178,-1.229753
2,199_FED_20160711c_3T1_PL2017,Sem-photo, 116,1.998633
2,199_FED_20160711c_3T1_PL2017,Perc-photo, 116,0.291523
2,199_FED_20160711c_3T1_PL2017,Sem-sent, 116,2.471083
2,199_FED_20160711c_3T1_PL2017,Perc-sent, 116,-0.349614
2,261_FED_20160523c_3T2_PL2017,Sem-photo, 116,5.553890
2,261_FED_20160523c_3T2_PL2017,Perc-photo, 116,1.011894
2,261_FED_20160523c_3T2_PL2017,Sem-sent, 116,6.376374
2,261_FED_20160523c_3T2_PL2017,Perc-sent, 116,1.111926
2,407_FED_20160804a_3T1_PL2017,Sem-photo, 116,5.561652
2,407_FED_20160804a_3T1_PL2017,Perc-photo, 116,1.196304
2,407_FED_20160804a_3T1_PL2017,Sem-sent, 116,3.897100
2,407_FED_20160804a_3T1_PL2017,Perc-sent, 116,0.636597
2,408_FED_20160711a2_3T1_PL2017,Sem-photo, 116,1.554220
2,408_FED_20160711a2_3T1_PL2017,Perc-photo, 116,0.919387
2,408_FED_20160711a2_3T1_PL2017,Sem-sent, 116,1.116681
2,408_FED_20160711a2_3T1_PL2017,Perc-sent, 116,1.250546
2,409_FED_20160622a_3T1_PL2017,Sem-photo, 116,2.677296
2,409_FED_20160622a_3T1_PL2017,Perc-photo, 116,0.226741
2,409_FED_20160622a_3T1_PL2017,Sem-sent, 116,2.126647
2,409_FED_20160622a_3T1_PL2017,Perc-sent, 116,0.394144
2,410_FED_20160623b_3T2_PL2017,Sem-photo, 116,2.520970
2,410_FED_20160623b_3T2_PL2017,Perc-photo, 116,0.182930
2,410_FED_20160623b_3T2_PL2017,Sem-sent, 116,2.018154
2,410_FED_20160623b_3T2_PL2017,Perc-sent, 116,-0.599479
2,730_FED_20190306a_3T2_PL2017,Sem-photo, 116,4.927120
2,730_FED_20190306a_3T2_PL2017,Perc-photo, 116,1.107327
2,730_FED_20190306a_3T2_PL2017,Sem-sent, 116,5.022443
2,730_FED_20190306a_3T2_PL2017,Perc-sent, 116,-0.243367
2,776_FED_20190611b_3T2_PL2017,Sem-photo, 116,0.444551
