ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 178,2.314894
1,199_KAN_parametric_20_PL2017,N, 178,1.551159
1,261_FED_20160523c_3T2_PL2017,S, 178,0.371910
1,261_FED_20160523c_3T2_PL2017,N, 178,1.062518
1,407_FED_20160804a_3T1_PL2017,S, 178,0.448405
1,407_FED_20160804a_3T1_PL2017,N, 178,0.303725
1,408_FED_20160711a2_3T1_PL2017,S, 178,1.175954
1,408_FED_20160711a2_3T1_PL2017,N, 178,0.825262
1,409_FED_20160622a_3T1_PL2017,S, 178,-0.570684
1,409_FED_20160622a_3T1_PL2017,N, 178,-0.428608
1,410_FED_20160623b_3T2_PL2017,S, 178,0.473729
1,410_FED_20160623b_3T2_PL2017,N, 178,0.151921
1,730_FED_20190306a_3T2_PL2017,S, 178,1.369896
1,730_FED_20190306a_3T2_PL2017,N, 178,2.320553
1,776_FED_20190611b_3T2_PL2017,S, 178,0.128239
1,776_FED_20190611b_3T2_PL2017,N, 178,0.110381
1,291_FED_20160803c_3T1_PL2017,S, 178,2.205359
1,291_FED_20160803c_3T1_PL2017,N, 178,1.445869
1,400_FED_20160520a_3T1_PL2017,S, 178,2.506459
1,400_FED_20160520a_3T1_PL2017,N, 178,2.061016
1,419_FED_20160805a_3T1_PL2017,S, 178,0.669422
1,419_FED_20160805a_3T1_PL2017,N, 178,1.031051
1,773_FED_20190605c_3T2_PL2017,S, 178,0.761845
1,773_FED_20190605c_3T2_PL2017,N, 178,0.807809
1,774_FED_20190605b_3T2_PL2017,S, 178,0.542562
1,774_FED_20190605b_3T2_PL2017,N, 178,0.166076
1,775_FED_20190611a_3T2_PL2017,S, 178,0.939155
1,775_FED_20190611a_3T2_PL2017,N, 178,0.024828
1,778_FED_20190614b_3T2_PL2017,S, 178,0.636151
1,778_FED_20190614b_3T2_PL2017,N, 178,1.011371
2,199_KAN_parametric_20_PL2017,S, 116,0.508082
2,199_KAN_parametric_20_PL2017,N, 116,1.271639
2,261_FED_20160523c_3T2_PL2017,S, 116,1.013835
2,261_FED_20160523c_3T2_PL2017,N, 116,2.163362
2,407_FED_20160804a_3T1_PL2017,S, 116,-0.668982
2,407_FED_20160804a_3T1_PL2017,N, 116,-0.552023
2,408_FED_20160711a2_3T1_PL2017,S, 116,1.448150
2,408_FED_20160711a2_3T1_PL2017,N, 116,1.137714
2,409_FED_20160622a_3T1_PL2017,S, 116,-0.544169
2,409_FED_20160622a_3T1_PL2017,N, 116,-0.059733
2,410_FED_20160623b_3T2_PL2017,S, 116,0.074381
2,410_FED_20160623b_3T2_PL2017,N, 116,-0.054948
2,730_FED_20190306a_3T2_PL2017,S, 116,1.534901
2,730_FED_20190306a_3T2_PL2017,N, 116,3.029657
2,776_FED_20190611b_3T2_PL2017,S, 116,0.202117
2,776_FED_20190611b_3T2_PL2017,N, 116,0.027640
2,291_FED_20160803c_3T1_PL2017,S, 116,1.775997
2,291_FED_20160803c_3T1_PL2017,N, 116,0.902388
2,400_FED_20160520a_3T1_PL2017,S, 116,-1.152304
2,400_FED_20160520a_3T1_PL2017,N, 116,0.562779
2,419_FED_20160805a_3T1_PL2017,S, 116,0.185446
2,419_FED_20160805a_3T1_PL2017,N, 116,0.383527
2,773_FED_20190605c_3T2_PL2017,S, 116,0.658711
2,773_FED_20190605c_3T2_PL2017,N, 116,0.363350
2,774_FED_20190605b_3T2_PL2017,S, 116,-1.094762
2,774_FED_20190605b_3T2_PL2017,N, 116,-0.762676
2,775_FED_20190611a_3T2_PL2017,S, 116,0.203145
2,775_FED_20190611a_3T2_PL2017,N, 116,-0.696972
2,778_FED_20190614b_3T2_PL2017,S, 116,0.017834
2,778_FED_20190614b_3T2_PL2017,N, 116,-0.387988
3,199_KAN_parametric_20_PL2017,S, 46,1.031907
3,199_KAN_parametric_20_PL2017,N, 46,1.167269
3,261_FED_20160523c_3T2_PL2017,S, 46,-0.133941
3,261_FED_20160523c_3T2_PL2017,N, 46,-1.062491
3,407_FED_20160804a_3T1_PL2017,S, 46,0.618638
3,407_FED_20160804a_3T1_PL2017,N, 46,0.191181
3,408_FED_20160711a2_3T1_PL2017,S, 46,0.343429
3,408_FED_20160711a2_3T1_PL2017,N, 46,1.046432
3,409_FED_20160622a_3T1_PL2017,S, 46,0.377334
3,409_FED_20160622a_3T1_PL2017,N, 46,-0.350745
3,410_FED_20160623b_3T2_PL2017,S, 46,-0.178607
3,410_FED_20160623b_3T2_PL2017,N, 46,-0.154549
3,730_FED_20190306a_3T2_PL2017,S, 46,2.403596
3,730_FED_20190306a_3T2_PL2017,N, 46,4.505031
3,776_FED_20190611b_3T2_PL2017,S, 46,-0.004506
3,776_FED_20190611b_3T2_PL2017,N, 46,0.211808
3,291_FED_20160803c_3T1_PL2017,S, 46,2.282487
3,291_FED_20160803c_3T1_PL2017,N, 46,1.625977
3,400_FED_20160520a_3T1_PL2017,S, 46,-0.744915
3,400_FED_20160520a_3T1_PL2017,N, 46,0.484370
3,419_FED_20160805a_3T1_PL2017,S, 46,0.935876
3,419_FED_20160805a_3T1_PL2017,N, 46,1.361993
3,773_FED_20190605c_3T2_PL2017,S, 46,-0.275397
3,773_FED_20190605c_3T2_PL2017,N, 46,-0.499664
3,774_FED_20190605b_3T2_PL2017,S, 46,-1.298755
3,774_FED_20190605b_3T2_PL2017,N, 46,-0.363028
3,775_FED_20190611a_3T2_PL2017,S, 46,-0.234619
3,775_FED_20190611a_3T2_PL2017,N, 46,-0.681518
3,778_FED_20190614b_3T2_PL2017,S, 46,-1.013735
3,778_FED_20190614b_3T2_PL2017,N, 46,-0.987328
4,199_KAN_parametric_20_PL2017,S, 107,1.578620
4,199_KAN_parametric_20_PL2017,N, 107,1.849988
4,261_FED_20160523c_3T2_PL2017,S, 107,-0.130832
4,261_FED_20160523c_3T2_PL2017,N, 107,0.146869
4,407_FED_20160804a_3T1_PL2017,S, 107,1.077323
4,407_FED_20160804a_3T1_PL2017,N, 107,1.111508
4,408_FED_20160711a2_3T1_PL2017,S, 107,0.830064
4,408_FED_20160711a2_3T1_PL2017,N, 107,0.915676
4,409_FED_20160622a_3T1_PL2017,S, 107,0.271021
4,409_FED_20160622a_3T1_PL2017,N, 107,0.713240
4,410_FED_20160623b_3T2_PL2017,S, 107,0.275827
4,410_FED_20160623b_3T2_PL2017,N, 107,0.196077
4,730_FED_20190306a_3T2_PL2017,S, 107,0.879625
4,730_FED_20190306a_3T2_PL2017,N, 107,1.204887
4,776_FED_20190611b_3T2_PL2017,S, 107,0.056792
