ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 178,2.514335
1,040_KAN_langevents_01_PL2017,Perc_photo, 178,1.843260
1,040_KAN_langevents_01_PL2017,Sem_sent, 178,3.334472
1,040_KAN_langevents_01_PL2017,Perc_sent, 178,1.083984
1,057_KAN_langevents_02_PL2017,Sem_photo, 178,2.524468
1,057_KAN_langevents_02_PL2017,Perc_photo, 178,0.255421
1,057_KAN_langevents_02_PL2017,Sem_sent, 178,2.991209
1,057_KAN_langevents_02_PL2017,Perc_sent, 178,0.498723
1,059_KAN_langevents_04_PL2017,Sem_photo, 178,1.860346
1,059_KAN_langevents_04_PL2017,Perc_photo, 178,0.215355
1,059_KAN_langevents_04_PL2017,Sem_sent, 178,1.927667
1,059_KAN_langevents_04_PL2017,Perc_sent, 178,0.685584
1,056_KAN_langevents_05_PL2017,Sem_photo, 178,2.056675
1,056_KAN_langevents_05_PL2017,Perc_photo, 178,0.440818
1,056_KAN_langevents_05_PL2017,Sem_sent, 178,3.101707
1,056_KAN_langevents_05_PL2017,Perc_sent, 178,0.861427
1,067_KAN_langevents_06_PL2017,Sem_photo, 178,2.566800
1,067_KAN_langevents_06_PL2017,Perc_photo, 178,1.670357
1,067_KAN_langevents_06_PL2017,Sem_sent, 178,3.261352
1,067_KAN_langevents_06_PL2017,Perc_sent, 178,0.891028
1,068_KAN_langevents_07_PL2017,Sem_photo, 178,3.039958
1,068_KAN_langevents_07_PL2017,Perc_photo, 178,2.463849
1,068_KAN_langevents_07_PL2017,Sem_sent, 178,4.723332
1,068_KAN_langevents_07_PL2017,Perc_sent, 178,1.989547
1,019_KAN_langevents_08_PL2017,Sem_photo, 178,-0.384952
1,019_KAN_langevents_08_PL2017,Perc_photo, 178,-0.153551
1,019_KAN_langevents_08_PL2017,Sem_sent, 178,-0.165499
1,019_KAN_langevents_08_PL2017,Perc_sent, 178,-0.474057
1,070_KAN_langevents_11_PL2017,Sem_photo, 178,3.379439
1,070_KAN_langevents_11_PL2017,Perc_photo, 178,0.338513
1,070_KAN_langevents_11_PL2017,Sem_sent, 178,4.150086
1,070_KAN_langevents_11_PL2017,Perc_sent, 178,0.317046
