ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 178,0.905311
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 178,1.167874
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 178,1.034453
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 178,1.489509
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 178,2.795233
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 178,2.070732
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 178,3.103685
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 178,1.991721
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,0.064749
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,-0.120293
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,0.429824
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,0.651567
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 178,4.646495
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 178,0.915656
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 178,4.797877
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 178,1.564679
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 178,3.429958
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 178,1.718611
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 178,3.555420
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 178,1.573271
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 178,0.457635
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 178,0.321142
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 178,0.106574
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 178,0.432865
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,0.325601
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.714570
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,0.348928
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,0.120992
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 178,2.605324
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 178,0.562644
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 178,3.957777
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 178,1.188496
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,0.407694
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,0.519848
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,-0.094460
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,0.255695
1,420_FED_20160805b_3T1_PL2017,Pic_Sem, 178,1.263538
1,420_FED_20160805b_3T1_PL2017,Pic_Perc, 178,1.130834
1,420_FED_20160805b_3T1_PL2017,Sent_Sem, 178,1.110240
1,420_FED_20160805b_3T1_PL2017,Sent_Perc, 178,0.810288
1,426_FED_20160908d_3T1_PL2017,Pic_Sem, 178,-0.457571
1,426_FED_20160908d_3T1_PL2017,Pic_Perc, 178,0.530233
1,426_FED_20160908d_3T1_PL2017,Sent_Sem, 178,0.030100
1,426_FED_20160908d_3T1_PL2017,Sent_Perc, 178,-2.148477
1,682_FED_20190426a_3T2_PL2017,Pic_Sem, 178,3.096868
1,682_FED_20190426a_3T2_PL2017,Pic_Perc, 178,0.274310
1,682_FED_20190426a_3T2_PL2017,Sent_Sem, 178,2.010867
1,682_FED_20190426a_3T2_PL2017,Sent_Perc, 178,1.746499
1,767_FED_20190418b_3T2_PL2017,Pic_Sem, 178,4.740283
1,767_FED_20190418b_3T2_PL2017,Pic_Perc, 178,1.232609
1,767_FED_20190418b_3T2_PL2017,Sent_Sem, 178,5.868629
1,767_FED_20190418b_3T2_PL2017,Sent_Perc, 178,1.560705
1,768_FED_20190517a_3T2_PL2017,Pic_Sem, 178,4.666648
1,768_FED_20190517a_3T2_PL2017,Pic_Perc, 178,1.179998
1,768_FED_20190517a_3T2_PL2017,Sent_Sem, 178,4.522092
1,768_FED_20190517a_3T2_PL2017,Sent_Perc, 178,1.666841
1,769_FED_20190522a_3T2_PL2017,Pic_Sem, 178,3.428584
1,769_FED_20190522a_3T2_PL2017,Pic_Perc, 178,0.456076
1,769_FED_20190522a_3T2_PL2017,Sent_Sem, 178,4.815253
1,769_FED_20190522a_3T2_PL2017,Sent_Perc, 178,1.005703
1,770_FED_20190523b_3T2_PL2017,Pic_Sem, 178,-0.861692
1,770_FED_20190523b_3T2_PL2017,Pic_Perc, 178,-0.414082
1,770_FED_20190523b_3T2_PL2017,Sent_Sem, 178,-0.309256
1,770_FED_20190523b_3T2_PL2017,Sent_Perc, 178,-0.444584
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,-0.004753
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,0.201614
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,-0.207957
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,0.649141
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,2.108506
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,0.234272
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,1.293811
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,1.380861
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,4.372263
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,3.919367
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 178,5.550830
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 178,3.672332
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 178,3.752170
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 178,1.064267
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 178,3.434061
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 178,1.960876
1,863_FED_20211124a_3T1_PL2017,Pic_Sem, 178,1.593185
1,863_FED_20211124a_3T1_PL2017,Pic_Perc, 178,0.234414
