ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 178,1.016854
1,249_FED_20160519a_3T1_PL2017,N, 178,1.038514
1,252_FED_20160907b_3T2_PL2017,S, 178,1.371852
1,252_FED_20160907b_3T2_PL2017,N, 178,1.444953
1,291_FED_20160803c_3T1_PL2017,S, 178,2.060878
1,291_FED_20160803c_3T1_PL2017,N, 178,1.268670
1,301_FED_20160908b_3T1_PL2017,S, 178,1.510344
1,301_FED_20160908b_3T1_PL2017,N, 178,1.226090
1,376_FED_20160519b_3T1_PL2017,S, 178,1.294756
1,376_FED_20160519b_3T1_PL2017,N, 178,0.460755
1,399_FED_20160519d_3T1_PL2017,S, 178,0.061517
1,399_FED_20160519d_3T1_PL2017,N, 178,-0.154086
1,400_FED_20160520a_3T1_PL2017,S, 178,2.947351
1,400_FED_20160520a_3T1_PL2017,N, 178,1.172597
1,401_FED_20160520d_3T1_PL2017,S, 178,2.645425
1,401_FED_20160520d_3T1_PL2017,N, 178,2.152067
1,419_FED_20160805a_3T1_PL2017,S, 178,0.774969
1,419_FED_20160805a_3T1_PL2017,N, 178,1.287018
1,420_FED_20160805b_3T1_PL2017,S, 178,0.867224
1,420_FED_20160805b_3T1_PL2017,N, 178,0.346545
1,426_FED_20160908d_3T1_PL2017,S, 178,4.597442
1,426_FED_20160908d_3T1_PL2017,N, 178,1.736067
1,682_FED_20190426a_3T2_PL2017,S, 178,1.002902
1,682_FED_20190426a_3T2_PL2017,N, 178,0.038700
1,767_FED_20190418b_3T2_PL2017,S, 178,4.141397
1,767_FED_20190418b_3T2_PL2017,N, 178,3.035396
1,768_FED_20190517a_3T2_PL2017,S, 178,1.549807
1,768_FED_20190517a_3T2_PL2017,N, 178,0.895214
1,769_FED_20190522a_3T2_PL2017,S, 178,3.077723
1,769_FED_20190522a_3T2_PL2017,N, 178,1.031012
1,770_FED_20190523b_3T2_PL2017,S, 178,0.000800
1,770_FED_20190523b_3T2_PL2017,N, 178,-0.061016
1,773_FED_20190605c_3T2_PL2017,S, 178,0.140425
1,773_FED_20190605c_3T2_PL2017,N, 178,0.227674
1,774_FED_20190605b_3T2_PL2017,S, 178,-0.477477
1,774_FED_20190605b_3T2_PL2017,N, 178,-0.248416
1,775_FED_20190611a_3T2_PL2017,S, 178,1.400108
1,775_FED_20190611a_3T2_PL2017,N, 178,0.117006
1,778_FED_20190614b_3T2_PL2017,S, 178,2.739974
1,778_FED_20190614b_3T2_PL2017,N, 178,1.538602
1,863_FED_20211124a_3T1_PL2017,S, 178,2.644514
1,863_FED_20211124a_3T1_PL2017,N, 178,1.719233
2,249_FED_20160519a_3T1_PL2017,S, 116,-0.329396
2,249_FED_20160519a_3T1_PL2017,N, 116,-0.021665
2,252_FED_20160907b_3T2_PL2017,S, 116,1.377119
2,252_FED_20160907b_3T2_PL2017,N, 116,1.255798
2,291_FED_20160803c_3T1_PL2017,S, 116,1.969894
2,291_FED_20160803c_3T1_PL2017,N, 116,0.698423
2,301_FED_20160908b_3T1_PL2017,S, 116,1.422603
2,301_FED_20160908b_3T1_PL2017,N, 116,0.165692
2,376_FED_20160519b_3T1_PL2017,S, 116,1.275850
2,376_FED_20160519b_3T1_PL2017,N, 116,0.270127
2,399_FED_20160519d_3T1_PL2017,S, 116,0.421484
2,399_FED_20160519d_3T1_PL2017,N, 116,0.081809
2,400_FED_20160520a_3T1_PL2017,S, 116,0.542769
2,400_FED_20160520a_3T1_PL2017,N, 116,0.123150
2,401_FED_20160520d_3T1_PL2017,S, 116,1.502572
2,401_FED_20160520d_3T1_PL2017,N, 116,0.840011
2,419_FED_20160805a_3T1_PL2017,S, 116,0.585674
2,419_FED_20160805a_3T1_PL2017,N, 116,0.764869
2,420_FED_20160805b_3T1_PL2017,S, 116,0.325410
2,420_FED_20160805b_3T1_PL2017,N, 116,0.048507
2,426_FED_20160908d_3T1_PL2017,S, 116,4.184025
2,426_FED_20160908d_3T1_PL2017,N, 116,1.171403
2,682_FED_20190426a_3T2_PL2017,S, 116,1.305806
2,682_FED_20190426a_3T2_PL2017,N, 116,0.191574
2,767_FED_20190418b_3T2_PL2017,S, 116,2.288319
2,767_FED_20190418b_3T2_PL2017,N, 116,0.810153
2,768_FED_20190517a_3T2_PL2017,S, 116,1.291815
2,768_FED_20190517a_3T2_PL2017,N, 116,0.582846
2,769_FED_20190522a_3T2_PL2017,S, 116,4.724310
2,769_FED_20190522a_3T2_PL2017,N, 116,1.543745
2,770_FED_20190523b_3T2_PL2017,S, 116,0.359472
2,770_FED_20190523b_3T2_PL2017,N, 116,-0.051801
2,773_FED_20190605c_3T2_PL2017,S, 116,-0.101256
2,773_FED_20190605c_3T2_PL2017,N, 116,0.127364
2,774_FED_20190605b_3T2_PL2017,S, 116,-0.715919
2,774_FED_20190605b_3T2_PL2017,N, 116,-0.344884
2,775_FED_20190611a_3T2_PL2017,S, 116,0.492345
2,775_FED_20190611a_3T2_PL2017,N, 116,-0.171171
2,778_FED_20190614b_3T2_PL2017,S, 116,3.519472
2,778_FED_20190614b_3T2_PL2017,N, 116,0.797718
2,863_FED_20211124a_3T1_PL2017,S, 116,0.406666
2,863_FED_20211124a_3T1_PL2017,N, 116,0.577165
3,249_FED_20160519a_3T1_PL2017,S, 46,1.606262
3,249_FED_20160519a_3T1_PL2017,N, 46,1.467421
3,252_FED_20160907b_3T2_PL2017,S, 46,0.807793
3,252_FED_20160907b_3T2_PL2017,N, 46,0.473681
3,291_FED_20160803c_3T1_PL2017,S, 46,0.594701
3,291_FED_20160803c_3T1_PL2017,N, 46,0.455302
3,301_FED_20160908b_3T1_PL2017,S, 46,0.448168
3,301_FED_20160908b_3T1_PL2017,N, 46,1.001317
3,376_FED_20160519b_3T1_PL2017,S, 46,-0.100893
3,376_FED_20160519b_3T1_PL2017,N, 46,0.152212
3,399_FED_20160519d_3T1_PL2017,S, 46,-0.449369
3,399_FED_20160519d_3T1_PL2017,N, 46,0.127802
3,400_FED_20160520a_3T1_PL2017,S, 46,0.127009
3,400_FED_20160520a_3T1_PL2017,N, 46,0.277779
3,401_FED_20160520d_3T1_PL2017,S, 46,0.518502
3,401_FED_20160520d_3T1_PL2017,N, 46,0.696497
3,419_FED_20160805a_3T1_PL2017,S, 46,0.219884
3,419_FED_20160805a_3T1_PL2017,N, 46,0.545565
3,420_FED_20160805b_3T1_PL2017,S, 46,0.384131
3,420_FED_20160805b_3T1_PL2017,N, 46,0.184747
3,426_FED_20160908d_3T1_PL2017,S, 46,0.304350
3,426_FED_20160908d_3T1_PL2017,N, 46,0.150477
3,682_FED_20190426a_3T2_PL2017,S, 46,-2.601873
3,682_FED_20190426a_3T2_PL2017,N, 46,0.285441
3,767_FED_20190418b_3T2_PL2017,S, 46,-0.224362
3,767_FED_20190418b_3T2_PL2017,N, 46,-0.145100
3,768_FED_20190517a_3T2_PL2017,S, 46,-0.183955
3,768_FED_20190517a_3T2_PL2017,N, 46,-0.076639
3,769_FED_20190522a_3T2_PL2017,S, 46,-0.110117
3,769_FED_20190522a_3T2_PL2017,N, 46,0.002933
3,770_FED_20190523b_3T2_PL2017,S, 46,0.264446
3,770_FED_20190523b_3T2_PL2017,N, 46,0.195263
3,773_FED_20190605c_3T2_PL2017,S, 46,-0.084441
3,773_FED_20190605c_3T2_PL2017,N, 46,0.067087
3,774_FED_20190605b_3T2_PL2017,S, 46,-0.696829
3,774_FED_20190605b_3T2_PL2017,N, 46,-0.194838
3,775_FED_20190611a_3T2_PL2017,S, 46,0.285206
3,775_FED_20190611a_3T2_PL2017,N, 46,0.334735
3,778_FED_20190614b_3T2_PL2017,S, 46,-0.789492
3,778_FED_20190614b_3T2_PL2017,N, 46,-0.813213
3,863_FED_20211124a_3T1_PL2017,S, 46,0.108719
3,863_FED_20211124a_3T1_PL2017,N, 46,0.374463
4,249_FED_20160519a_3T1_PL2017,S, 107,2.180393
4,249_FED_20160519a_3T1_PL2017,N, 107,1.630829
4,252_FED_20160907b_3T2_PL2017,S, 107,1.315092
4,252_FED_20160907b_3T2_PL2017,N, 107,1.580843
4,291_FED_20160803c_3T1_PL2017,S, 107,1.672520
4,291_FED_20160803c_3T1_PL2017,N, 107,1.611042
4,301_FED_20160908b_3T1_PL2017,S, 107,1.037875
4,301_FED_20160908b_3T1_PL2017,N, 107,1.351499
4,376_FED_20160519b_3T1_PL2017,S, 107,1.575648
4,376_FED_20160519b_3T1_PL2017,N, 107,1.640786
4,399_FED_20160519d_3T1_PL2017,S, 107,0.234194
4,399_FED_20160519d_3T1_PL2017,N, 107,0.196445
4,400_FED_20160520a_3T1_PL2017,S, 107,0.700355
4,400_FED_20160520a_3T1_PL2017,N, 107,0.829263
4,401_FED_20160520d_3T1_PL2017,S, 107,2.507045
4,401_FED_20160520d_3T1_PL2017,N, 107,2.658836
4,419_FED_20160805a_3T1_PL2017,S, 107,1.014684
4,419_FED_20160805a_3T1_PL2017,N, 107,1.338953
4,420_FED_20160805b_3T1_PL2017,S, 107,0.484809
4,420_FED_20160805b_3T1_PL2017,N, 107,0.699944
4,426_FED_20160908d_3T1_PL2017,S, 107,1.065621
4,426_FED_20160908d_3T1_PL2017,N, 107,0.926174
4,682_FED_20190426a_3T2_PL2017,S, 107,2.932706
4,682_FED_20190426a_3T2_PL2017,N, 107,2.713094
4,767_FED_20190418b_3T2_PL2017,S, 107,1.979375
4,767_FED_20190418b_3T2_PL2017,N, 107,2.384621
4,768_FED_20190517a_3T2_PL2017,S, 107,2.966922
4,768_FED_20190517a_3T2_PL2017,N, 107,3.008632
4,769_FED_20190522a_3T2_PL2017,S, 107,1.743792
4,769_FED_20190522a_3T2_PL2017,N, 107,1.562065
4,770_FED_20190523b_3T2_PL2017,S, 107,0.620793
4,770_FED_20190523b_3T2_PL2017,N, 107,0.614393
4,773_FED_20190605c_3T2_PL2017,S, 107,0.397755
4,773_FED_20190605c_3T2_PL2017,N, 107,0.587762
4,774_FED_20190605b_3T2_PL2017,S, 107,0.007088
4,774_FED_20190605b_3T2_PL2017,N, 107,0.021333
4,775_FED_20190611a_3T2_PL2017,S, 107,1.304923
4,775_FED_20190611a_3T2_PL2017,N, 107,1.073633
4,778_FED_20190614b_3T2_PL2017,S, 107,2.398212
4,778_FED_20190614b_3T2_PL2017,N, 107,2.864862
4,863_FED_20211124a_3T1_PL2017,S, 107,2.171370
4,863_FED_20211124a_3T1_PL2017,N, 107,2.189872
5,249_FED_20160519a_3T1_PL2017,S, 98,1.935169
5,249_FED_20160519a_3T1_PL2017,N, 98,1.124109
5,252_FED_20160907b_3T2_PL2017,S, 98,1.706510
5,252_FED_20160907b_3T2_PL2017,N, 98,1.557853
5,291_FED_20160803c_3T1_PL2017,S, 98,0.608012
5,291_FED_20160803c_3T1_PL2017,N, 98,0.350900
5,301_FED_20160908b_3T1_PL2017,S, 98,0.116276
5,301_FED_20160908b_3T1_PL2017,N, 98,0.195747
5,376_FED_20160519b_3T1_PL2017,S, 98,0.479303
5,376_FED_20160519b_3T1_PL2017,N, 98,0.011530
5,399_FED_20160519d_3T1_PL2017,S, 98,-1.182347
5,399_FED_20160519d_3T1_PL2017,N, 98,-0.488818
5,400_FED_20160520a_3T1_PL2017,S, 98,-0.512989
5,400_FED_20160520a_3T1_PL2017,N, 98,-0.611187
5,401_FED_20160520d_3T1_PL2017,S, 98,2.218517
5,401_FED_20160520d_3T1_PL2017,N, 98,2.183634
5,419_FED_20160805a_3T1_PL2017,S, 98,0.584055
5,419_FED_20160805a_3T1_PL2017,N, 98,0.954341
5,420_FED_20160805b_3T1_PL2017,S, 98,0.404014
5,420_FED_20160805b_3T1_PL2017,N, 98,0.263370
5,426_FED_20160908d_3T1_PL2017,S, 98,0.672638
5,426_FED_20160908d_3T1_PL2017,N, 98,0.696677
5,682_FED_20190426a_3T2_PL2017,S, 98,-0.082196
5,682_FED_20190426a_3T2_PL2017,N, 98,0.698644
5,767_FED_20190418b_3T2_PL2017,S, 98,1.330167
5,767_FED_20190418b_3T2_PL2017,N, 98,2.029836
5,768_FED_20190517a_3T2_PL2017,S, 98,-0.494137
5,768_FED_20190517a_3T2_PL2017,N, 98,-0.060580
5,769_FED_20190522a_3T2_PL2017,S, 98,-0.000662
5,769_FED_20190522a_3T2_PL2017,N, 98,0.264182
5,770_FED_20190523b_3T2_PL2017,S, 98,0.159636
5,770_FED_20190523b_3T2_PL2017,N, 98,-0.267443
5,773_FED_20190605c_3T2_PL2017,S, 98,-0.054267
5,773_FED_20190605c_3T2_PL2017,N, 98,0.014362
5,774_FED_20190605b_3T2_PL2017,S, 98,-0.369671
5,774_FED_20190605b_3T2_PL2017,N, 98,-0.192864
5,775_FED_20190611a_3T2_PL2017,S, 98,0.385879
5,775_FED_20190611a_3T2_PL2017,N, 98,-0.145769
5,778_FED_20190614b_3T2_PL2017,S, 98,-1.249904
5,778_FED_20190614b_3T2_PL2017,N, 98,-1.433232
5,863_FED_20211124a_3T1_PL2017,S, 98,1.810726
5,863_FED_20211124a_3T1_PL2017,N, 98,2.186880
6,249_FED_20160519a_3T1_PL2017,S, 125,2.194003
6,249_FED_20160519a_3T1_PL2017,N, 125,1.243835
6,252_FED_20160907b_3T2_PL2017,S, 125,2.500247
6,252_FED_20160907b_3T2_PL2017,N, 125,1.182040
6,291_FED_20160803c_3T1_PL2017,S, 125,2.582468
6,291_FED_20160803c_3T1_PL2017,N, 125,1.109434
6,301_FED_20160908b_3T1_PL2017,S, 125,3.700526
6,301_FED_20160908b_3T1_PL2017,N, 125,1.233324
6,376_FED_20160519b_3T1_PL2017,S, 125,2.057013
6,376_FED_20160519b_3T1_PL2017,N, 125,0.418900
6,399_FED_20160519d_3T1_PL2017,S, 125,0.470403
6,399_FED_20160519d_3T1_PL2017,N, 125,-0.095198
6,400_FED_20160520a_3T1_PL2017,S, 125,1.802325
6,400_FED_20160520a_3T1_PL2017,N, 125,0.196266
6,401_FED_20160520d_3T1_PL2017,S, 125,1.302397
6,401_FED_20160520d_3T1_PL2017,N, 125,0.695492
6,419_FED_20160805a_3T1_PL2017,S, 125,0.750333
6,419_FED_20160805a_3T1_PL2017,N, 125,0.699247
