ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 178,1.264343
1,249_FED_20160519a_3T1_PL2017,E, 178,0.725298
1,252_FED_20160907b_3T2_PL2017,H, 178,1.660633
1,252_FED_20160907b_3T2_PL2017,E, 178,0.683860
1,291_FED_20160803c_3T1_PL2017,H, 178,0.587466
1,291_FED_20160803c_3T1_PL2017,E, 178,0.604688
1,301_FED_20160908b_3T1_PL2017,H, 178,1.647505
1,301_FED_20160908b_3T1_PL2017,E, 178,0.567725
1,376_FED_20160519b_3T1_PL2017,H, 178,1.457820
1,376_FED_20160519b_3T1_PL2017,E, 178,0.777488
1,399_FED_20160519d_3T1_PL2017,H, 178,-0.133934
1,399_FED_20160519d_3T1_PL2017,E, 178,-0.136483
1,400_FED_20160520a_3T1_PL2017,H, 178,0.372806
1,400_FED_20160520a_3T1_PL2017,E, 178,0.282730
1,401_FED_20160520d_3T1_PL2017,H, 178,2.133118
1,401_FED_20160520d_3T1_PL2017,E, 178,1.918002
1,419_FED_20160805a_3T1_PL2017,H, 178,1.469062
1,419_FED_20160805a_3T1_PL2017,E, 178,1.722301
1,420_FED_20160805b_3T1_PL2017,H, 178,0.932573
1,420_FED_20160805b_3T1_PL2017,E, 178,0.797228
1,426_FED_20160908d_3T1_PL2017,H, 178,0.405960
1,426_FED_20160908d_3T1_PL2017,E, 178,-0.046515
1,682_FED_20190426a_3T2_PL2017,H, 178,0.620468
1,682_FED_20190426a_3T2_PL2017,E, 178,0.373362
1,767_FED_20190418b_3T2_PL2017,H, 178,1.059193
1,767_FED_20190418b_3T2_PL2017,E, 178,0.295095
1,769_FED_20190522a_3T2_PL2017,H, 178,0.060921
1,769_FED_20190522a_3T2_PL2017,E, 178,0.504799
1,770_FED_20190523b_3T2_PL2017,H, 178,-0.664515
1,770_FED_20190523b_3T2_PL2017,E, 178,-0.444752
1,773_FED_20190605c_3T2_PL2017,H, 178,0.336265
1,773_FED_20190605c_3T2_PL2017,E, 178,0.217836
1,774_FED_20190605b_3T2_PL2017,H, 178,1.661261
1,774_FED_20190605b_3T2_PL2017,E, 178,0.742045
1,775_FED_20190611a_3T2_PL2017,H, 178,4.821778
1,775_FED_20190611a_3T2_PL2017,E, 178,3.812274
1,778_FED_20190614b_3T2_PL2017,H, 178,-0.105166
1,778_FED_20190614b_3T2_PL2017,E, 178,0.011712
1,863_FED_20211124a_3T1_PL2017,H, 178,3.103640
1,863_FED_20211124a_3T1_PL2017,E, 178,2.354592
2,249_FED_20160519a_3T1_PL2017,H, 116,1.892724
2,249_FED_20160519a_3T1_PL2017,E, 116,1.024739
2,252_FED_20160907b_3T2_PL2017,H, 116,0.303232
2,252_FED_20160907b_3T2_PL2017,E, 116,-0.133550
2,291_FED_20160803c_3T1_PL2017,H, 116,-0.600711
2,291_FED_20160803c_3T1_PL2017,E, 116,-0.018735
2,301_FED_20160908b_3T1_PL2017,H, 116,-1.138223
2,301_FED_20160908b_3T1_PL2017,E, 116,-0.443866
2,376_FED_20160519b_3T1_PL2017,H, 116,-1.081210
2,376_FED_20160519b_3T1_PL2017,E, 116,-0.563871
2,399_FED_20160519d_3T1_PL2017,H, 116,-0.031360
2,399_FED_20160519d_3T1_PL2017,E, 116,-0.310408
2,400_FED_20160520a_3T1_PL2017,H, 116,-0.250553
2,400_FED_20160520a_3T1_PL2017,E, 116,-0.475666
2,401_FED_20160520d_3T1_PL2017,H, 116,0.693942
2,401_FED_20160520d_3T1_PL2017,E, 116,1.074262
2,419_FED_20160805a_3T1_PL2017,H, 116,0.161318
2,419_FED_20160805a_3T1_PL2017,E, 116,0.117253
2,420_FED_20160805b_3T1_PL2017,H, 116,0.127785
2,420_FED_20160805b_3T1_PL2017,E, 116,0.199100
2,426_FED_20160908d_3T1_PL2017,H, 116,-1.778104
2,426_FED_20160908d_3T1_PL2017,E, 116,-1.364795
2,682_FED_20190426a_3T2_PL2017,H, 116,-1.228262
2,682_FED_20190426a_3T2_PL2017,E, 116,-1.192872
2,767_FED_20190418b_3T2_PL2017,H, 116,-1.149819
2,767_FED_20190418b_3T2_PL2017,E, 116,-1.416715
2,769_FED_20190522a_3T2_PL2017,H, 116,-0.813540
2,769_FED_20190522a_3T2_PL2017,E, 116,-0.204474
2,770_FED_20190523b_3T2_PL2017,H, 116,-1.071047
2,770_FED_20190523b_3T2_PL2017,E, 116,-0.429704
2,773_FED_20190605c_3T2_PL2017,H, 116,-0.095642
2,773_FED_20190605c_3T2_PL2017,E, 116,-0.073694
2,774_FED_20190605b_3T2_PL2017,H, 116,1.431606
2,774_FED_20190605b_3T2_PL2017,E, 116,0.267000
2,775_FED_20190611a_3T2_PL2017,H, 116,0.687988
2,775_FED_20190611a_3T2_PL2017,E, 116,0.518638
2,778_FED_20190614b_3T2_PL2017,H, 116,-1.114383
2,778_FED_20190614b_3T2_PL2017,E, 116,-0.982455
2,863_FED_20211124a_3T1_PL2017,H, 116,1.319258
2,863_FED_20211124a_3T1_PL2017,E, 116,0.912480
3,249_FED_20160519a_3T1_PL2017,H, 46,0.292669
3,249_FED_20160519a_3T1_PL2017,E, 46,-0.559777
3,252_FED_20160907b_3T2_PL2017,H, 46,2.105612
3,252_FED_20160907b_3T2_PL2017,E, 46,0.950870
3,291_FED_20160803c_3T1_PL2017,H, 46,0.072745
3,291_FED_20160803c_3T1_PL2017,E, 46,-0.010602
3,301_FED_20160908b_3T1_PL2017,H, 46,4.589736
3,301_FED_20160908b_3T1_PL2017,E, 46,1.557053
3,376_FED_20160519b_3T1_PL2017,H, 46,-0.053981
3,376_FED_20160519b_3T1_PL2017,E, 46,0.118613
3,399_FED_20160519d_3T1_PL2017,H, 46,-1.639698
3,399_FED_20160519d_3T1_PL2017,E, 46,-0.273263
3,400_FED_20160520a_3T1_PL2017,H, 46,-0.203639
3,400_FED_20160520a_3T1_PL2017,E, 46,-0.362679
3,401_FED_20160520d_3T1_PL2017,H, 46,-0.187193
3,401_FED_20160520d_3T1_PL2017,E, 46,0.176452
3,419_FED_20160805a_3T1_PL2017,H, 46,0.220955
3,419_FED_20160805a_3T1_PL2017,E, 46,0.511411
3,420_FED_20160805b_3T1_PL2017,H, 46,-1.035102
3,420_FED_20160805b_3T1_PL2017,E, 46,-0.271055
3,426_FED_20160908d_3T1_PL2017,H, 46,-1.435693
3,426_FED_20160908d_3T1_PL2017,E, 46,-1.120156
3,682_FED_20190426a_3T2_PL2017,H, 46,-4.125333
3,682_FED_20190426a_3T2_PL2017,E, 46,-4.133065
3,767_FED_20190418b_3T2_PL2017,H, 46,-1.168547
3,767_FED_20190418b_3T2_PL2017,E, 46,-0.962748
3,769_FED_20190522a_3T2_PL2017,H, 46,1.149237
3,769_FED_20190522a_3T2_PL2017,E, 46,1.278248
3,770_FED_20190523b_3T2_PL2017,H, 46,-1.291088
3,770_FED_20190523b_3T2_PL2017,E, 46,-0.671154
3,773_FED_20190605c_3T2_PL2017,H, 46,0.735513
3,773_FED_20190605c_3T2_PL2017,E, 46,0.220158
3,774_FED_20190605b_3T2_PL2017,H, 46,1.162043
3,774_FED_20190605b_3T2_PL2017,E, 46,0.359398
3,775_FED_20190611a_3T2_PL2017,H, 46,-0.962700
3,775_FED_20190611a_3T2_PL2017,E, 46,-0.087276
3,778_FED_20190614b_3T2_PL2017,H, 46,-1.800406
3,778_FED_20190614b_3T2_PL2017,E, 46,-1.243027
3,863_FED_20211124a_3T1_PL2017,H, 46,1.391883
3,863_FED_20211124a_3T1_PL2017,E, 46,0.771181
4,249_FED_20160519a_3T1_PL2017,H, 107,0.778623
4,249_FED_20160519a_3T1_PL2017,E, 107,0.484687
4,252_FED_20160907b_3T2_PL2017,H, 107,2.193607
4,252_FED_20160907b_3T2_PL2017,E, 107,1.368533
4,291_FED_20160803c_3T1_PL2017,H, 107,0.837704
4,291_FED_20160803c_3T1_PL2017,E, 107,0.711363
4,301_FED_20160908b_3T1_PL2017,H, 107,0.529086
4,301_FED_20160908b_3T1_PL2017,E, 107,0.372609
4,376_FED_20160519b_3T1_PL2017,H, 107,0.890794
4,376_FED_20160519b_3T1_PL2017,E, 107,0.781185
4,399_FED_20160519d_3T1_PL2017,H, 107,0.090946
4,399_FED_20160519d_3T1_PL2017,E, 107,0.012770
4,400_FED_20160520a_3T1_PL2017,H, 107,0.849026
4,400_FED_20160520a_3T1_PL2017,E, 107,0.665316
4,401_FED_20160520d_3T1_PL2017,H, 107,1.844459
4,401_FED_20160520d_3T1_PL2017,E, 107,1.371886
4,419_FED_20160805a_3T1_PL2017,H, 107,1.876391
4,419_FED_20160805a_3T1_PL2017,E, 107,1.959538
4,420_FED_20160805b_3T1_PL2017,H, 107,0.558524
4,420_FED_20160805b_3T1_PL2017,E, 107,0.510888
4,426_FED_20160908d_3T1_PL2017,H, 107,0.721333
4,426_FED_20160908d_3T1_PL2017,E, 107,0.592883
4,682_FED_20190426a_3T2_PL2017,H, 107,1.835164
4,682_FED_20190426a_3T2_PL2017,E, 107,1.606041
4,767_FED_20190418b_3T2_PL2017,H, 107,1.217175
4,767_FED_20190418b_3T2_PL2017,E, 107,0.801704
4,769_FED_20190522a_3T2_PL2017,H, 107,1.013644
4,769_FED_20190522a_3T2_PL2017,E, 107,0.942164
4,770_FED_20190523b_3T2_PL2017,H, 107,0.227873
4,770_FED_20190523b_3T2_PL2017,E, 107,0.271710
4,773_FED_20190605c_3T2_PL2017,H, 107,0.723025
4,773_FED_20190605c_3T2_PL2017,E, 107,0.521233
4,774_FED_20190605b_3T2_PL2017,H, 107,1.330624
4,774_FED_20190605b_3T2_PL2017,E, 107,0.644157
4,775_FED_20190611a_3T2_PL2017,H, 107,2.402270
4,775_FED_20190611a_3T2_PL2017,E, 107,2.142310
4,778_FED_20190614b_3T2_PL2017,H, 107,1.274561
4,778_FED_20190614b_3T2_PL2017,E, 107,1.012318
4,863_FED_20211124a_3T1_PL2017,H, 107,4.188873
4,863_FED_20211124a_3T1_PL2017,E, 107,3.252938
5,249_FED_20160519a_3T1_PL2017,H, 98,-1.628237
5,249_FED_20160519a_3T1_PL2017,E, 98,-1.145095
5,252_FED_20160907b_3T2_PL2017,H, 98,3.327149
5,252_FED_20160907b_3T2_PL2017,E, 98,2.055977
5,291_FED_20160803c_3T1_PL2017,H, 98,-0.196739
5,291_FED_20160803c_3T1_PL2017,E, 98,0.108174
5,301_FED_20160908b_3T1_PL2017,H, 98,-1.485900
5,301_FED_20160908b_3T1_PL2017,E, 98,-1.069378
5,376_FED_20160519b_3T1_PL2017,H, 98,-1.683050
5,376_FED_20160519b_3T1_PL2017,E, 98,-0.009776
5,399_FED_20160519d_3T1_PL2017,H, 98,-1.819454
5,399_FED_20160519d_3T1_PL2017,E, 98,-0.990598
5,400_FED_20160520a_3T1_PL2017,H, 98,-1.712745
5,400_FED_20160520a_3T1_PL2017,E, 98,-1.079256
5,401_FED_20160520d_3T1_PL2017,H, 98,3.483196
5,401_FED_20160520d_3T1_PL2017,E, 98,2.657184
5,419_FED_20160805a_3T1_PL2017,H, 98,2.652938
5,419_FED_20160805a_3T1_PL2017,E, 98,3.031848
5,420_FED_20160805b_3T1_PL2017,H, 98,-0.979599
5,420_FED_20160805b_3T1_PL2017,E, 98,-0.326211
