ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,249_FED_20160519a_3T1_PL2017,Pic_Sem, 395,-0.630481
LH_postParietal,249_FED_20160519a_3T1_PL2017,Pic_Perc, 395,-0.720320
LH_postParietal,249_FED_20160519a_3T1_PL2017,Sent_Sem, 395,-0.578958
LH_postParietal,249_FED_20160519a_3T1_PL2017,Sent_Perc, 395,-0.503111
LH_postParietal,252_FED_20160907b_3T2_PL2017,Pic_Sem, 395,-0.051970
LH_postParietal,252_FED_20160907b_3T2_PL2017,Pic_Perc, 395,0.193070
LH_postParietal,252_FED_20160907b_3T2_PL2017,Sent_Sem, 395,0.307268
LH_postParietal,252_FED_20160907b_3T2_PL2017,Sent_Perc, 395,-0.068889
LH_postParietal,291_FED_20160803c_3T1_PL2017,Pic_Sem, 395,-0.978999
LH_postParietal,291_FED_20160803c_3T1_PL2017,Pic_Perc, 395,0.065281
LH_postParietal,291_FED_20160803c_3T1_PL2017,Sent_Sem, 395,-0.125597
LH_postParietal,291_FED_20160803c_3T1_PL2017,Sent_Perc, 395,-0.398780
LH_postParietal,301_FED_20160908b_3T1_PL2017,Pic_Sem, 395,0.151715
LH_postParietal,301_FED_20160908b_3T1_PL2017,Pic_Perc, 395,-0.590633
LH_postParietal,301_FED_20160908b_3T1_PL2017,Sent_Sem, 395,0.195190
LH_postParietal,301_FED_20160908b_3T1_PL2017,Sent_Perc, 395,-0.516517
LH_postParietal,376_FED_20160519b_3T1_PL2017,Pic_Sem, 395,1.437746
LH_postParietal,376_FED_20160519b_3T1_PL2017,Pic_Perc, 395,-0.575825
LH_postParietal,376_FED_20160519b_3T1_PL2017,Sent_Sem, 395,1.323796
LH_postParietal,376_FED_20160519b_3T1_PL2017,Sent_Perc, 395,0.025976
LH_postParietal,399_FED_20160519d_3T1_PL2017,Pic_Sem, 395,0.202374
LH_postParietal,399_FED_20160519d_3T1_PL2017,Pic_Perc, 395,0.785435
LH_postParietal,399_FED_20160519d_3T1_PL2017,Sent_Sem, 395,0.347219
LH_postParietal,399_FED_20160519d_3T1_PL2017,Sent_Perc, 395,0.357309
LH_postParietal,400_FED_20160520a_3T1_PL2017,Pic_Sem, 395,0.302530
LH_postParietal,400_FED_20160520a_3T1_PL2017,Pic_Perc, 395,0.448409
LH_postParietal,400_FED_20160520a_3T1_PL2017,Sent_Sem, 395,0.836584
LH_postParietal,400_FED_20160520a_3T1_PL2017,Sent_Perc, 395,0.784514
LH_postParietal,401_FED_20160520d_3T1_PL2017,Pic_Sem, 395,-0.048726
LH_postParietal,401_FED_20160520d_3T1_PL2017,Pic_Perc, 395,-1.441498
LH_postParietal,401_FED_20160520d_3T1_PL2017,Sent_Sem, 395,-0.167539
LH_postParietal,401_FED_20160520d_3T1_PL2017,Sent_Perc, 395,-0.749925
LH_postParietal,419_FED_20160805a_3T1_PL2017,Pic_Sem, 395,0.042144
LH_postParietal,419_FED_20160805a_3T1_PL2017,Pic_Perc, 395,2.567992
LH_postParietal,419_FED_20160805a_3T1_PL2017,Sent_Sem, 395,2.794851
LH_postParietal,419_FED_20160805a_3T1_PL2017,Sent_Perc, 395,0.429849
LH_postParietal,420_FED_20160805b_3T1_PL2017,Pic_Sem, 395,-0.109587
LH_postParietal,420_FED_20160805b_3T1_PL2017,Pic_Perc, 395,-0.221712
LH_postParietal,420_FED_20160805b_3T1_PL2017,Sent_Sem, 395,-0.603447
LH_postParietal,420_FED_20160805b_3T1_PL2017,Sent_Perc, 395,0.010675
LH_postParietal,426_FED_20160908d_3T1_PL2017,Pic_Sem, 395,0.343077
LH_postParietal,426_FED_20160908d_3T1_PL2017,Pic_Perc, 395,-0.314224
LH_postParietal,426_FED_20160908d_3T1_PL2017,Sent_Sem, 395,0.353634
