ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,261_FED_20160523c_3T2_PL2017,H, 395,4.503077
LH_postParietal,261_FED_20160523c_3T2_PL2017,E, 395,3.178972
LH_postParietal,407_FED_20160804a_3T1_PL2017,H, 395,3.092098
LH_postParietal,407_FED_20160804a_3T1_PL2017,E, 395,2.533417
LH_postParietal,408_FED_20160711a2_3T1_PL2017,H, 395,-0.145721
LH_postParietal,408_FED_20160711a2_3T1_PL2017,E, 395,-0.170888
LH_postParietal,409_FED_20160622a_3T1_PL2017,H, 395,6.364290
LH_postParietal,409_FED_20160622a_3T1_PL2017,E, 395,4.291421
LH_postParietal,410_FED_20160623b_3T2_PL2017,H, 395,4.978901
LH_postParietal,410_FED_20160623b_3T2_PL2017,E, 395,3.221687
LH_postParietal,730_FED_20190306a_3T2_PL2017,H, 395,5.841082
LH_postParietal,730_FED_20190306a_3T2_PL2017,E, 395,4.604511
LH_postParietal,776_FED_20190611b_3T2_PL2017,H, 395,5.659934
LH_postParietal,776_FED_20190611b_3T2_PL2017,E, 395,3.787765
LH_postParietal,249_FED_20160519a_3T1_PL2017,H, 395,4.610737
LH_postParietal,249_FED_20160519a_3T1_PL2017,E, 395,3.466421
LH_postParietal,252_FED_20160907b_3T2_PL2017,H, 395,5.697738
LH_postParietal,252_FED_20160907b_3T2_PL2017,E, 395,3.741420
LH_postParietal,291_FED_20160803c_3T1_PL2017,H, 395,2.049592
LH_postParietal,291_FED_20160803c_3T1_PL2017,E, 395,1.752347
LH_postParietal,301_FED_20160908b_3T1_PL2017,H, 395,4.515889
LH_postParietal,301_FED_20160908b_3T1_PL2017,E, 395,2.970981
LH_postParietal,376_FED_20160519b_3T1_PL2017,H, 395,4.483904
LH_postParietal,376_FED_20160519b_3T1_PL2017,E, 395,2.979724
LH_postParietal,399_FED_20160519d_3T1_PL2017,H, 395,3.439619
LH_postParietal,399_FED_20160519d_3T1_PL2017,E, 395,2.077367
LH_postParietal,400_FED_20160520a_3T1_PL2017,H, 395,4.832537
LH_postParietal,400_FED_20160520a_3T1_PL2017,E, 395,3.124534
LH_postParietal,401_FED_20160520d_3T1_PL2017,H, 395,4.303337
LH_postParietal,401_FED_20160520d_3T1_PL2017,E, 395,3.369648
LH_postParietal,419_FED_20160805a_3T1_PL2017,H, 395,0.605643
LH_postParietal,419_FED_20160805a_3T1_PL2017,E, 395,0.640146
LH_postParietal,420_FED_20160805b_3T1_PL2017,H, 395,6.320871
