ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 178,2.685284
1,199_KAN_parametric_20_PL2017,E, 178,1.746280
1,261_FED_20160523c_3T2_PL2017,H, 178,2.467918
1,261_FED_20160523c_3T2_PL2017,E, 178,1.772050
1,407_FED_20160804a_3T1_PL2017,H, 178,1.084251
1,407_FED_20160804a_3T1_PL2017,E, 178,0.725855
1,408_FED_20160711a2_3T1_PL2017,H, 178,-0.170256
1,408_FED_20160711a2_3T1_PL2017,E, 178,-0.061445
1,409_FED_20160622a_3T1_PL2017,H, 178,0.903349
1,409_FED_20160622a_3T1_PL2017,E, 178,0.409843
1,410_FED_20160623b_3T2_PL2017,H, 178,1.757590
1,410_FED_20160623b_3T2_PL2017,E, 178,1.267149
1,730_FED_20190306a_3T2_PL2017,H, 178,3.037398
1,730_FED_20190306a_3T2_PL2017,E, 178,1.559468
1,776_FED_20190611b_3T2_PL2017,H, 178,0.820997
1,776_FED_20190611b_3T2_PL2017,E, 178,0.490951
1,291_FED_20160803c_3T1_PL2017,H, 178,1.337997
1,291_FED_20160803c_3T1_PL2017,E, 178,1.049151
1,400_FED_20160520a_3T1_PL2017,H, 178,2.481529
1,400_FED_20160520a_3T1_PL2017,E, 178,1.577725
1,419_FED_20160805a_3T1_PL2017,H, 178,-0.126413
1,419_FED_20160805a_3T1_PL2017,E, 178,-0.156209
1,773_FED_20190605c_3T2_PL2017,H, 178,0.787110
1,773_FED_20190605c_3T2_PL2017,E, 178,0.555467
1,774_FED_20190605b_3T2_PL2017,H, 178,1.819761
1,774_FED_20190605b_3T2_PL2017,E, 178,0.723076
1,775_FED_20190611a_3T2_PL2017,H, 178,2.977671
1,775_FED_20190611a_3T2_PL2017,E, 178,2.364502
1,778_FED_20190614b_3T2_PL2017,H, 178,-0.473323
1,778_FED_20190614b_3T2_PL2017,E, 178,-0.529414
2,199_KAN_parametric_20_PL2017,H, 116,1.288481
2,199_KAN_parametric_20_PL2017,E, 116,0.609832
2,261_FED_20160523c_3T2_PL2017,H, 116,2.483280
2,261_FED_20160523c_3T2_PL2017,E, 116,1.988851
2,407_FED_20160804a_3T1_PL2017,H, 116,0.402321
2,407_FED_20160804a_3T1_PL2017,E, 116,0.159646
2,408_FED_20160711a2_3T1_PL2017,H, 116,-0.254180
2,408_FED_20160711a2_3T1_PL2017,E, 116,-0.288454
2,409_FED_20160622a_3T1_PL2017,H, 116,0.192609
2,409_FED_20160622a_3T1_PL2017,E, 116,0.171592
2,410_FED_20160623b_3T2_PL2017,H, 116,0.570952
2,410_FED_20160623b_3T2_PL2017,E, 116,0.483983
2,730_FED_20190306a_3T2_PL2017,H, 116,1.211392
2,730_FED_20190306a_3T2_PL2017,E, 116,0.574565
2,776_FED_20190611b_3T2_PL2017,H, 116,0.321831
2,776_FED_20190611b_3T2_PL2017,E, 116,0.153124
2,291_FED_20160803c_3T1_PL2017,H, 116,0.870753
2,291_FED_20160803c_3T1_PL2017,E, 116,1.078101
2,400_FED_20160520a_3T1_PL2017,H, 116,1.280994
2,400_FED_20160520a_3T1_PL2017,E, 116,0.624174
2,419_FED_20160805a_3T1_PL2017,H, 116,0.667985
2,419_FED_20160805a_3T1_PL2017,E, 116,0.678037
2,773_FED_20190605c_3T2_PL2017,H, 116,-0.973708
2,773_FED_20190605c_3T2_PL2017,E, 116,-0.711234
2,774_FED_20190605b_3T2_PL2017,H, 116,0.677398
2,774_FED_20190605b_3T2_PL2017,E, 116,-0.179080
2,775_FED_20190611a_3T2_PL2017,H, 116,1.124977
2,775_FED_20190611a_3T2_PL2017,E, 116,0.812943
2,778_FED_20190614b_3T2_PL2017,H, 116,-1.592873
2,778_FED_20190614b_3T2_PL2017,E, 116,-1.447029
3,199_KAN_parametric_20_PL2017,H, 181,0.588226
3,199_KAN_parametric_20_PL2017,E, 181,0.415365
3,261_FED_20160523c_3T2_PL2017,H, 181,-1.629837
3,261_FED_20160523c_3T2_PL2017,E, 181,-1.680376
3,407_FED_20160804a_3T1_PL2017,H, 181,-0.910088
3,407_FED_20160804a_3T1_PL2017,E, 181,-0.633870
3,408_FED_20160711a2_3T1_PL2017,H, 181,0.068454
3,408_FED_20160711a2_3T1_PL2017,E, 181,0.138680
3,409_FED_20160622a_3T1_PL2017,H, 181,-0.340648
3,409_FED_20160622a_3T1_PL2017,E, 181,0.399921
3,410_FED_20160623b_3T2_PL2017,H, 181,-0.516504
3,410_FED_20160623b_3T2_PL2017,E, 181,-0.115040
3,730_FED_20190306a_3T2_PL2017,H, 181,-0.121966
3,730_FED_20190306a_3T2_PL2017,E, 181,-0.162131
3,776_FED_20190611b_3T2_PL2017,H, 181,-0.914134
3,776_FED_20190611b_3T2_PL2017,E, 181,-0.259379
3,291_FED_20160803c_3T1_PL2017,H, 181,-0.936729
3,291_FED_20160803c_3T1_PL2017,E, 181,-0.474215
3,400_FED_20160520a_3T1_PL2017,H, 181,-1.045852
3,400_FED_20160520a_3T1_PL2017,E, 181,-0.269227
3,419_FED_20160805a_3T1_PL2017,H, 181,-0.536718
3,419_FED_20160805a_3T1_PL2017,E, 181,-0.517765
3,773_FED_20190605c_3T2_PL2017,H, 181,-2.055777
3,773_FED_20190605c_3T2_PL2017,E, 181,-1.047745
3,774_FED_20190605b_3T2_PL2017,H, 181,-0.795415
3,774_FED_20190605b_3T2_PL2017,E, 181,-0.872209
3,775_FED_20190611a_3T2_PL2017,H, 181,-1.361206
3,775_FED_20190611a_3T2_PL2017,E, 181,-0.104657
3,778_FED_20190614b_3T2_PL2017,H, 181,-2.219548
3,778_FED_20190614b_3T2_PL2017,E, 181,-1.165037
4,199_KAN_parametric_20_PL2017,H, 125,-0.405487
4,199_KAN_parametric_20_PL2017,E, 125,-0.333853
4,261_FED_20160523c_3T2_PL2017,H, 125,-0.688960
4,261_FED_20160523c_3T2_PL2017,E, 125,-0.596178
4,407_FED_20160804a_3T1_PL2017,H, 125,-0.237970
4,407_FED_20160804a_3T1_PL2017,E, 125,-0.240695
4,408_FED_20160711a2_3T1_PL2017,H, 125,0.062306
4,408_FED_20160711a2_3T1_PL2017,E, 125,0.278117
4,409_FED_20160622a_3T1_PL2017,H, 125,-0.653629
4,409_FED_20160622a_3T1_PL2017,E, 125,0.622910
4,410_FED_20160623b_3T2_PL2017,H, 125,-0.305116
4,410_FED_20160623b_3T2_PL2017,E, 125,0.038348
4,730_FED_20190306a_3T2_PL2017,H, 125,-0.376601
4,730_FED_20190306a_3T2_PL2017,E, 125,-0.289233
4,776_FED_20190611b_3T2_PL2017,H, 125,-0.764579
4,776_FED_20190611b_3T2_PL2017,E, 125,-0.524336
4,291_FED_20160803c_3T1_PL2017,H, 125,0.030739
4,291_FED_20160803c_3T1_PL2017,E, 125,0.420393
4,400_FED_20160520a_3T1_PL2017,H, 125,-0.994123
4,400_FED_20160520a_3T1_PL2017,E, 125,-0.283190
4,419_FED_20160805a_3T1_PL2017,H, 125,-0.173581
4,419_FED_20160805a_3T1_PL2017,E, 125,-0.361391
4,773_FED_20190605c_3T2_PL2017,H, 112,-2.412611
4,773_FED_20190605c_3T2_PL2017,E, 112,-1.338405
4,774_FED_20190605b_3T2_PL2017,H, 125,-0.405056
4,774_FED_20190605b_3T2_PL2017,E, 125,-0.480670
4,775_FED_20190611a_3T2_PL2017,H, 125,-0.212317
